date,gross_return,cost,net_return,turnover,n_long,n_short,n_positions,vol_target_multiplier
2024-11-01,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-11-04,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-11-05,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-11-06,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-11-07,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-11-08,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-11-11,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-11-12,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-11-13,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-11-14,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-11-15,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-11-18,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-11-19,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-11-20,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-11-21,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-11-22,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-11-25,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-11-26,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-11-27,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-11-29,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-12-02,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-12-03,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-12-04,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-12-05,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-12-06,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-12-09,0.0,0.0,0.0,0.0,0,0,0,1.0
2024-12-10,-0.0002303143479614045,2.4e-05,-0.0002543143479614045,0.02,0,1,1,1.0
2024-12-11,-0.00020000000000000017,0.0,-0.00020000000000000017,0.0,0,1,1,3.0
2024-12-12,0.0008057882711348063,0.0,0.0008057882711348063,0.0,0,1,1,3.0
2024-12-13,0.00024759939687326373,0.0,0.00024759939687326373,0.0,0,1,1,3.0
2024-12-16,-0.000413329714253563,2.4e-05,-0.000437329714253563,0.02,0,2,2,3.0
2024-12-17,0.0007328298661345523,0.0,0.0007328298661345523,0.0,0,2,2,3.0
2024-12-18,0.0008323177402252901,0.0,0.0008323177402252901,0.0,0,2,2,3.0
2024-12-19,-0.0006802307437044109,0.0,-0.0006802307437044109,0.0,0,2,2,3.0
2024-12-20,-5.115815491787856e-05,2.4e-05,-7.515815491787856e-05,0.02,0,1,1,3.0
2024-12-23,0.0,2.4e-05,-2.4e-05,0.02,0,0,0,3.0
2024-12-24,0.000204374214048777,4.8e-05,0.000156374214048777,0.04,0,2,2,3.0
2024-12-26,-0.0007343966032039174,7.2e-05,-0.0008063966032039174,0.06,3,2,5,3.0
2024-12-27,0.00032336519647998104,7.2e-05,0.000251365196479981,0.06,5,1,6,3.0
2024-12-30,0.0001790512798656563,9.6e-05,8.305127986565629e-05,0.08,7,1,8,3.0
2024-12-31,-0.0004310005229196512,7.2e-05,-0.0005030005229196512,0.06,5,2,7,3.0
2025-01-02,0.00026521324787379455,9.6e-05,0.00016921324787379455,0.08,2,1,3,3.0
2025-01-03,0.00016936539307320418,7.2e-05,9.736539307320418e-05,0.06,1,1,2,3.0
2025-01-06,9.533674941105907e-05,2.4e-05,7.133674941105907e-05,0.02,0,1,1,3.0
2025-01-07,0.0003527457317408,7.2e-05,0.0002807457317408,0.06,0,2,2,3.0
2025-01-08,-4.689129807189163e-05,0.0,-4.689129807189163e-05,0.0,0,2,2,3.0
2025-01-10,-0.0005207380706875985,2.4e-05,-0.0005447380706875986,0.02,0,1,1,3.0
2025-01-13,0.0004682833109052509,2.4e-05,0.0004442833109052509,0.02,1,1,2,3.0
2025-01-14,-8.898390658496292e-05,0.0,-8.898390658496292e-05,0.0,1,1,2,3.0
2025-01-15,-0.00037439433646048405,2.4e-05,-0.00039839433646048403,0.02,0,1,1,3.0
2025-01-16,0.00018334601913217341,0.0,0.00018334601913217341,0.0,0,1,1,3.0
2025-01-17,0.0,2.4e-05,-2.4e-05,0.02,0,0,0,3.0
2025-01-21,0.0,0.0,0.0,0.0,0,0,0,3.0
2025-01-22,0.0,0.0,0.0,0.0,0,0,0,3.0
2025-01-23,0.0,0.0,0.0,0.0,0,0,0,3.0
2025-01-24,0.0,0.0,0.0,0.0,0,0,0,3.0
2025-01-27,0.0,0.0,0.0,0.0,0,0,0,3.0
2025-01-28,0.0,0.0,0.0,0.0,0,0,0,3.0
2025-01-29,0.0,0.0,0.0,0.0,0,0,0,3.0
2025-01-30,0.0,0.0,0.0,0.0,0,0,0,3.0
2025-01-31,0.0,0.0,0.0,0.0,0,0,0,3.0
2025-02-03,0.0,0.0,0.0,0.0,0,0,0,3.0
2025-02-04,0.0,0.0,0.0,0.0,0,0,0,3.0
2025-02-05,0.0,0.0,0.0,0.0,0,0,0,3.0
2025-02-06,0.0,0.0,0.0,0.0,0,0,0,3.0
2025-02-07,0.0,0.0,0.0,0.0,0,0,0,3.0
2025-02-10,0.0,0.0,0.0,0.0,0,0,0,3.0
2025-02-11,0.0,0.0,0.0,0.0,0,0,0,3.0
2025-02-12,0.0002790947023214319,2.4e-05,0.0002550947023214319,0.02,1,0,1,3.0
2025-02-13,-3.0872695355570465e-05,0.0,-3.0872695355570465e-05,0.0,1,0,1,3.0
2025-02-14,-4.0857910039020505e-05,0.0,-4.0857910039020505e-05,0.0,1,0,1,3.0
2025-02-18,-5.236695410367531e-05,0.0,-5.236695410367531e-05,0.0,1,0,1,3.0
2025-02-19,-0.0002148432171213921,0.0,-0.0002148432171213921,0.0,1,0,1,3.0
2025-02-20,0.0,2.4e-05,-2.4e-05,0.02,0,0,0,3.0
2025-02-21,0.0005352954702230383,2.4e-05,0.0005112954702230383,0.02,0,1,1,3.0
2025-02-24,-0.0004607269728599861,2.4e-05,-0.0004847269728599861,0.02,1,1,2,3.0
2025-02-25,-0.0005653277834161985,0.0,-0.0005653277834161985,0.0,1,1,2,3.0
2025-02-26,0.0008884817952828028,2.4e-05,0.0008644817952828028,0.02,0,1,1,3.0
2025-02-27,-0.00030511585225969197,4.8e-05,-0.00035311585225969195,0.04,0,1,1,3.0
2025-02-28,0.0010902722856174442,0.0,0.0010902722856174442,0.0,0,1,1,3.0
2025-03-03,0.0008854633446854265,0.0,0.0008854633446854265,0.0,0,1,1,3.0
2025-03-04,-0.00034795097520029294,2.4e-05,-0.00037195097520029293,0.02,0,2,2,3.0
2025-03-05,5.2545304227180644e-05,0.0,5.2545304227180644e-05,0.0,0,2,2,3.0
2025-03-06,0.0002700825748396296,0.0,0.0002700825748396296,0.0,0,2,2,3.0
2025-03-07,0.00018813156851786193,0.0,0.00018813156851786193,0.0,0,2,2,3.0
2025-03-10,-0.0012162162162162149,2.4e-05,-0.0012402162162162148,0.02,0,1,1,3.0
2025-03-11,-0.0002828025477707019,0.0,-0.0002828025477707019,0.0,0,1,1,3.0
2025-03-12,0.0,2.4e-05,-2.4e-05,0.02,0,0,0,3.0
