date,gate_on
2006-08-18,False
2006-08-25,False
2006-09-01,False
2006-09-08,False
2006-09-15,False
2006-09-22,False
2006-09-29,False
2006-10-06,False
2006-10-13,False
2006-10-20,False
2006-10-27,False
2006-11-03,False
2006-11-10,False
2006-11-17,False
2006-11-24,False
2006-12-01,False
2006-12-08,False
2006-12-15,False
2006-12-22,False
2006-12-29,False
2007-01-05,False
2007-01-12,False
2007-01-19,False
2007-01-26,False
2007-02-02,False
2007-02-09,False
2007-02-16,False
2007-02-23,False
2007-03-02,False
2007-03-09,False
2007-03-16,False
2007-03-23,False
2007-03-30,False
2007-04-05,False
2007-04-13,False
2007-04-20,False
2007-04-27,False
2007-05-04,False
2007-05-11,False
2007-05-18,False
2007-05-25,False
2007-06-01,False
2007-06-08,False
2007-06-15,False
2007-06-22,False
2007-06-29,False
2007-07-06,False
2007-07-13,False
2007-07-20,False
2007-07-27,False
2007-08-03,False
2007-08-10,False
2007-08-17,False
2007-08-24,False
2007-08-31,False
2007-09-07,False
2007-09-14,False
2007-09-21,False
2007-09-28,False
2007-10-05,False
2007-10-12,False
2007-10-19,False
2007-10-26,False
2007-11-02,False
2007-11-09,False
2007-11-16,False
2007-11-23,False
2007-11-30,False
2007-12-07,False
2007-12-14,False
2007-12-21,False
2007-12-28,False
2008-01-04,False
2008-01-11,False
2008-01-18,False
2008-01-25,False
2008-02-01,False
2008-02-08,False
2008-02-15,False
2008-02-22,False
2008-02-29,False
2008-03-07,False
2008-03-14,False
2008-03-20,False
2008-03-28,False
2008-04-04,False
2008-04-11,False
2008-04-18,False
2008-04-25,False
2008-05-02,False
2008-05-09,False
2008-05-16,False
2008-05-23,False
2008-05-30,False
2008-06-06,False
2008-06-13,False
2008-06-20,False
2008-06-27,False
2008-07-03,False
2008-07-11,False
2008-07-18,False
2008-07-25,False
2008-08-01,False
2008-08-08,False
2008-08-15,False
2008-08-22,False
2008-08-29,False
2008-09-05,False
2008-09-12,False
2008-09-19,False
2008-09-26,False
2008-10-03,False
2008-10-10,False
2008-10-17,False
2008-10-24,False
2008-10-31,False
2008-11-07,False
2008-11-14,False
2008-11-21,False
2008-11-28,False
2008-12-05,False
2008-12-12,False
2008-12-19,False
2008-12-26,False
2009-01-02,False
2009-01-09,False
2009-01-16,False
2009-01-23,False
2009-01-30,False
2009-02-06,False
2009-02-13,False
2009-02-20,False
2009-02-27,False
2009-03-06,False
2009-03-13,False
2009-03-20,False
2009-03-27,False
2009-04-03,False
2009-04-09,False
2009-04-17,False
2009-04-24,False
2009-05-01,False
2009-05-08,False
2009-05-15,False
2009-05-22,False
2009-05-29,False
2009-06-05,False
2009-06-12,False
2009-06-19,False
2009-06-26,False
2009-07-02,False
2009-07-10,False
2009-07-17,False
2009-07-24,False
2009-07-31,False
2009-08-07,True
2009-08-14,True
2009-08-21,True
2009-08-28,True
2009-09-04,True
2009-09-11,True
2009-09-18,True
2009-09-25,True
2009-10-02,True
2009-10-09,True
2009-10-16,True
2009-10-23,True
2009-10-30,True
2009-11-06,True
2009-11-13,False
2009-11-20,False
2009-11-27,False
2009-12-04,False
2009-12-11,False
2009-12-18,False
2009-12-24,False
2009-12-31,False
2010-01-08,False
2010-01-15,False
2010-01-22,False
2010-01-29,False
2010-02-05,False
2010-02-12,False
