date,L,rho_bar,absorption_ratio,index_vol
2006-08-18,,,,
2006-08-25,,,,
2006-09-01,,,,
2006-09-08,,,,
2006-09-15,,,,
2006-09-22,,,,
2006-09-29,,,,
2006-10-06,,,,
2006-10-13,,,,
2006-10-20,,,,
2006-10-27,,,,
2006-11-03,,,,
2006-11-10,,,,
2006-11-17,,,,
2006-11-24,,,,
2006-12-01,,,,
2006-12-08,,,,
2006-12-15,,,,
2006-12-22,,,,
2006-12-29,,,,
2007-01-05,,,,
2007-01-12,,,,
2007-01-19,,,,
2007-01-26,,,,
2007-02-02,,,,
2007-02-09,,,,
2007-02-16,,,,
2007-02-23,,,,
2007-03-02,,,,
2007-03-09,,,,
2007-03-16,,,,
2007-03-23,,,,
2007-03-30,,,,
2007-04-05,,,,
2007-04-13,,,,
2007-04-20,,,,
2007-04-27,,,,
2007-05-04,,,,
2007-05-11,,,,
2007-05-18,,,,
2007-05-25,,,,
2007-06-01,,,,
2007-06-08,,,,
2007-06-15,,,,
2007-06-22,,,,
2007-06-29,,,,
2007-07-06,,,,
2007-07-13,,,,
2007-07-20,,,,
2007-07-27,,,,
2007-08-03,,,,
2007-08-10,,,,
2007-08-17,,,,
2007-08-24,,,,
2007-08-31,,,,
2007-09-07,,,,
2007-09-14,,,,
2007-09-21,,,,
2007-09-28,,,,
2007-10-05,,,,
2007-10-12,,,,
2007-10-19,,,,
2007-10-26,,,,
2007-11-02,,,,
2007-11-09,,,,
2007-11-16,,,,
2007-11-23,,,,
2007-11-30,,,,
2007-12-07,,,,
2007-12-14,,,,
2007-12-21,,,,
2007-12-28,,,,
2008-01-04,,,,
2008-01-11,,,,
2008-01-18,,,,
2008-01-25,,,,
2008-02-01,,,,
2008-02-08,,,,
2008-02-15,,,,
2008-02-22,,,,
2008-02-29,,,,
2008-03-07,,,,
2008-03-14,,,,
2008-03-20,,,,
2008-03-28,,,,
2008-04-04,,,,
2008-04-11,,,,
2008-04-18,,,,
2008-04-25,,,,
2008-05-02,,,,
2008-05-09,,,,
2008-05-16,,,,
2008-05-23,,,,
2008-05-30,,,,
2008-06-06,,,,
2008-06-13,,,,
2008-06-20,,,,
2008-06-27,,,,
2008-07-03,,,,
2008-07-11,,,,
2008-07-18,,,,
2008-07-25,,,,
2008-08-01,,,,
2008-08-08,,,,
