,SPY,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,SLV,DBC,USO,UUP,FXE,FXY,VNQ
2003-01-02,59.3267,28.6663,17.5629,,38.5264,43.5473,40.1268,,,,,,,,,
2003-01-03,59.5091,28.6185,17.5803,,38.6157,43.6192,40.3549,,,,,,,,,
2003-01-06,60.5579,28.9533,17.7974,,38.513,43.5114,40.3362,,,,,,,,,
2003-01-07,60.4081,28.8025,17.5195,,38.6515,43.6501,40.4894,,,,,,,,,
2003-01-08,59.5351,28.5154,17.2815,,38.8435,43.7528,40.5306,,,,,,,,,
2003-01-09,60.4602,28.9349,17.4934,,38.0978,43.2238,40.2053,,,,,,,,,
2003-01-10,60.623,28.9975,17.4708,,38.196,43.27,40.31,,,,,,,,,
2003-01-13,60.6035,29.0637,17.5073,,38.2585,43.347,40.2651,,,,,,,,,
2003-01-14,60.7989,29.0821,17.6411,,38.3925,43.4498,40.3773,,,,,,,,,
2003-01-15,60.1931,29.0159,17.4726,,38.58,43.5473,40.3773,,,,,,,,,
2003-01-16,59.9455,28.9754,17.5455,,38.6336,43.5319,40.2838,,,,,,,,,
2003-01-17,59.0596,28.4308,17.3614,,38.8256,43.7117,40.4707,,,,,,,,,
2003-01-21,58.1411,28.0187,17.0557,,39.0489,43.8606,40.4969,,,,,,,,,
2003-01-22,57.4375,27.7758,16.8159,,39.2409,44.0404,40.5792,,,,,,,,,
2003-01-23,57.7893,27.9487,16.9341,,39.0489,43.9479,40.5979,,,,,,,,,
2003-01-24,56.2714,27.371,16.7551,,39.2811,44.0352,40.7811,,,,,,,,,
2003-01-27,55.5027,26.9552,16.3087,,39.1382,43.9017,40.5418,,,,,,,,,
2003-01-28,55.9131,27.176,16.3782,,39.1382,43.9068,40.6652,,,,,,,,,
2003-01-29,56.3366,27.382,16.3382,,38.9238,43.7168,40.4259,,,,,,,,,
2003-01-30,55.0011,26.9368,16.3278,,39.2141,43.8863,40.5642,,,,,,,,,
2003-01-31,56.063,27.3195,16.4598,,39.3212,43.9068,40.6764,,,,,,,,,
2003-02-03,56.1737,27.084,16.7186,,39.3786,43.8387,40.7159,,,,,,,,,
2003-02-04,55.62,27.084,16.4772,,39.5534,43.983,40.7947,,,,,,,,,
2003-02-05,55.2747,26.8816,16.505,,39.2128,43.8129,40.7347,,,,,,,,,
2003-02-06,55.0141,26.7344,16.3451,,39.531,43.983,40.806,,,,,,,,,
2003-02-07,54.3432,26.245,16.1089,,39.6206,44.0036,40.8961,,,,,,,,,
2003-02-10,54.7275,26.5173,16.1645,,39.3428,43.9211,40.6446,,,,,,,,,
2003-02-11,54.3497,26.4437,16.2427,,39.3338,43.9624,40.7947,,,,,,,,,
2003-02-12,53.4833,26.072,16.0707,,39.4727,44.153,40.7384,,,,,,,,,
2003-02-13,53.6461,26.0021,16.3069,,39.6878,44.3127,40.7384,,,,,,,,,
2003-02-14,54.8187,26.2376,16.4615,,39.3472,44.1582,40.7196,,,,,,,,,
2003-02-18,55.7828,26.7638,16.703,,39.3965,44.1582,40.8473,,,,,,,,,
2003-02-19,55.4897,26.44,16.3121,,39.6654,44.323,40.9787,,,,,,,,,
2003-02-20,54.936,26.3848,16.3295,,39.7998,44.4776,41.0838,,,,,,,,,
2003-02-21,55.4897,26.6129,16.4337,,39.5668,44.3127,40.9712,,,,,,,,,
2003-02-24,54.5907,26.2045,16.234,,39.755,44.4879,41.1063,,,,,,,,,
2003-02-25,55.0272,26.4437,16.0342,,39.9387,44.5498,41.1814,,,,,,,,,
2003-02-26,54.2259,26.3112,15.8431,,40.2165,44.6837,41.2941,,,,,,,,,
2003-02-27,54.9425,26.4562,15.8657,,40.2838,44.7249,41.4668,,,,,,,,,
2003-02-28,55.3073,26.4989,16.1124,,40.5392,44.8744,41.4818,,,,,,,,,
2003-03-03,54.7796,26.4179,16.1819,,40.5886,44.9674,41.7204,,,,,,,,,
2003-03-04,53.9067,26.0757,15.9473,,40.6156,45.0553,41.743,,,,,,,,,
2003-03-05,54.3627,26.1272,15.9734,,40.7506,45.138,41.7204,,,,,,,,,
2003-03-06,53.9067,25.9138,15.791,,40.5931,45.0449,41.6487,,,,,,,,,
2003-03-07,54.278,25.9838,15.6763,,40.7326,45.1948,41.6601,,,,,,,,,
2003-03-10,52.9751,25.5376,15.242,,40.944,45.3446,41.7769,,,,,,,,,
2003-03-11,52.454,25.3568,15.1917,,40.872,45.3343,41.6827,,,,,,,,,
2003-03-12,52.8058,25.4122,15.0162,,41.0204,45.231,41.6073,,,,,,,,,
2003-03-13,54.6298,26.0982,15.4453,,40.2648,44.7246,41.3435,,,,,,,,,
2003-03-14,54.8057,26.1314,15.5217,,40.4627,44.8744,41.2945,,,,,,,,,
2003-03-17,56.532,26.7362,15.9595,,39.9769,44.5231,41.0797,,,,,,,,,
2003-03-18,56.8642,27.0866,16.0272,,39.5991,44.2802,40.9176,,,,,,,,,
2003-03-19,57.3007,27.0202,16.1124,,39.3068,44.0684,40.7028,,,,,,,,,
2003-03-20,57.4245,27.1973,16.2149,,39.2438,44.0994,40.7744,,,,,,,,,
2003-03-21,58.6504,27.5772,16.6075,,38.704,43.6964,40.5671,,,,,,,,,
2003-03-24,56.7013,26.987,16.0689,,39.3158,44.1201,40.8912,,,,,,,,,
2003-03-25,57.2442,27.2747,16.2479,,39.2708,44.1252,40.9364,,,,,,,,,
2003-03-26,56.9564,26.9391,16.2566,,39.3517,44.2286,41.1173,,,,,,,,,
2003-03-27,57.0022,27.1224,16.1471,,39.3787,44.3112,41.1739,,,,,,,,,
2003-03-28,56.7144,27.1088,16.0429,,39.4687,44.3836,41.3397,,,,,,,,,
2003-03-31,55.4259,26.5555,15.7389,,39.9859,44.7039,41.5319,,,,,,,,,
2003-04-01,56.2762,27.0166,15.9838,,39.8721,44.6462,41.6612,,,,,,,,,
2003-04-02,57.6366,27.555,16.2479,,39.4565,44.3302,41.5401,,,,,,,,,
2003-04-03,57.3619,27.5698,16.1575,,39.4339,44.4079,41.5439,,,,,,,,,
2003-04-04,57.702,27.4887,16.3747,,39.321,44.3302,41.4416,,,,,,,,,
2003-04-07,57.5909,27.5071,16.5866,,39.2307,44.2265,41.3659,,,,,,,,,
2003-04-08,57.6824,27.5292,16.5901,,39.5469,44.3923,41.5174,,,,,,,,,
2003-04-09,56.9237,27.378,16.5276,,39.6643,44.5426,41.6536,,,,,,,,,
2003-04-10,57.2377,27.3854,16.4424,,39.4791,44.4234,41.5022,,,,,,,,,
2003-04-11,57.0022,27.2342,16.3486,7.1066,39.4159,44.3094,41.3546,,,,,,,,,
2003-04-14,58.1795,27.7284,16.597,7.1993,39.3075,44.1851,41.3773,,,,,,,,,
2003-04-15,58.7224,28.0271,16.8246,7.2848,39.5198,44.3405,41.453,,,,,,,,,
2003-04-16,57.7217,27.7358,16.7134,7.3689,39.6824,44.439,41.7331,,,,,,,,,
2003-04-17,58.5785,28.1599,16.9549,7.4217,39.7456,44.382,41.6461,,,,,,,,,
2003-04-21,58.6374,28.3517,16.8958,7.4188,39.6598,44.2991,41.7331,,,,,,,,,
2003-04-22,59.7427,28.7427,17.1408,7.4438,39.6372,44.3094,41.752,,,,,,,,,
2003-04-23,60.2922,29.0451,17.2919,7.4787,39.7185,44.2887,41.9943,,,,,,,,,
2003-04-24,59.7558,28.8976,17.1564,7.3311,40.0754,44.5478,42.2404,,,,,,,,,
2003-04-25,59.0167,28.4919,16.8524,7.21,40.1657,44.6203,42.2441,,,,,,,,,
2003-04-28,60.0371,28.9972,17.1512,7.329,40.1025,44.5737,42.2668,,,,,,,,,
2003-04-29,60.2464,29.1934,17.2502,7.5378,40.0347,44.496,42.1154,,,,,,,,,
2003-04-30,60.1156,29.2848,17.3388,7.5165,40.4051,44.7654,42.4145,,,,,,,,,
2003-05-01,60.109,29.248,17.41,7.4872,40.4246,44.8028,42.5214,,,,,,,,,
2003-05-02,60.9659,29.9856,17.5612,7.602,40.1068,44.5582,42.3769,,,,,,,,,
2003-05-05,60.8481,30.1221,17.6949,7.684,40.3202,44.6987,42.567,,,,,,,,,
2003-05-06,61.4237,30.4098,18.0684,7.7232,40.52,44.9744,42.7913,,,,,,,,,
2003-05-07,61.0836,30.2253,17.9017,7.7089,40.9923,45.2866,43.0765,,,,,,,,,
2003-05-08,60.4688,29.9745,17.6324,7.6412,41.0922,45.3334,43.0803,,,,,,,,,
2003-05-09,61.306,30.4061,17.8548,7.731,41.133,45.4062,43.0043,,,,,,,,,
2003-05-12,62.0582,30.738,17.9972,7.8387,41.3919,45.5987,43.1525,,,,,,,,,
2003-05-13,61.947,30.9187,17.9955,7.7945,41.4827,45.6403,43.1563,,,,,,,,,
2003-05-14,61.8161,30.9003,18.0007,7.7553,42.1185,45.89,43.3465,,,,,,,,,
2003-05-15,62.2086,31.022,18.032,7.7709,42.2502,45.8432,43.3313,,,,,,,,,
2003-05-16,62.0516,30.6384,18.2543,7.7766,42.5589,46.0877,43.6202,,,,,,,,,
2003-05-19,60.5996,30.1073,17.761,7.5913,42.4136,46.0773,43.4415,,,,,,,,,
2003-05-20,60.4753,30.0999,17.9381,7.6291,43.0403,46.3843,43.5746,,,,,,,,,
2003-05-21,60.5996,30.2143,17.7523,7.6355,43.0358,46.2386,43.5746,,,,,,,,,
2003-05-22,61.2013,30.5204,17.9903,7.7046,43.4172,46.4571,43.8674,,,,,,,,,
2003-05-23,61.3256,30.7601,18.0928,7.7838,43.5262,46.4051,43.9282,,,,,,,,,
2003-05-27,62.3983,31.483,18.2491,8.0625,42.7406,46.2334,43.7761,,,,,,,,,
