,SPY,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,SLV,DBC,USO,UUP,FXE,FXY,VNQ
2003-01-02,91.07,77.9,101.0999,,86.28,84.79,107.33,,,,,,,,,
2003-01-03,91.35,77.77,101.1999,,86.48,84.93,107.94,,,,,,,,,
2003-01-06,92.96,78.68,102.4499,,86.25,84.72,107.89,,,,,,,,,
2003-01-07,92.73,78.27,100.8499,,86.56,84.99,108.3,,,,,,,,,
2003-01-08,91.39,77.49,99.4799,,86.99,85.19,108.41,,,,,,,,,
2003-01-09,92.81,78.63,100.6999,,85.32,84.16,107.54,,,,,,,,,
2003-01-10,93.06,78.8,100.5699,,85.54,84.25,107.82,,,,,,,,,
2003-01-13,93.03,78.98,100.7799,,85.68,84.4,107.7,,,,,,,,,
2003-01-14,93.33,79.03,101.5499,,85.98,84.6,108.0,,,,,,,,,
2003-01-15,92.4,78.85,100.5799,,86.4,84.79,108.0,,,,,,,,,
2003-01-16,92.02,78.74,100.9999,,86.52,84.76,107.75,,,,,,,,,
2003-01-17,90.66,77.26,99.9399,,86.95,85.11,108.25,,,,,,,,,
2003-01-21,89.25,76.14,98.1799,,87.45,85.4,108.32,,,,,,,,,
2003-01-22,88.17,75.48,96.7999,,87.88,85.75,108.54,,,,,,,,,
2003-01-23,88.71,75.95,97.4799,,87.45,85.57,108.59,,,,,,,,,
2003-01-24,86.38,74.38,96.4499,,87.97,85.74,109.08,,,,,,,,,
2003-01-27,85.2,73.25,93.8799,,87.65,85.48,108.44,,,,,,,,,
2003-01-28,85.83,73.85,94.2799,,87.65,85.49,108.77,,,,,,,,,
2003-01-29,86.48,74.41,94.0499,,87.17,85.12,108.13,,,,,,,,,
2003-01-30,84.43,73.2,93.9899,,87.82,85.45,108.5,,,,,,,,,
2003-01-31,86.06,74.24,94.7499,,88.06,85.49,108.8,,,,,,,,,
2003-02-03,86.23,73.6,96.2399,,87.88,85.08,108.45,,,,,,,,,
2003-02-04,85.38,73.6,94.8499,,88.27,85.36,108.66,,,,,,,,,
2003-02-05,84.85,73.05,95.0099,,87.51,85.03,108.5,,,,,,,,,
2003-02-06,84.45,72.65,94.0899,,88.22,85.36,108.69,,,,,,,,,
