,SPY,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,SLV,DBC,USO,UUP,FXE,FXY,VNQ
2003-01-02,91.3,78.05,101.3899,,87.9,85.74,108.97,,,,,,,,,
2003-01-03,91.38,78.1094,101.6899,,86.54,84.93,107.94,,,,,,,,,
2003-01-06,93.49,79.22,102.9699,,86.29,84.8,107.89,,,,,,,,,
2003-01-07,93.37,78.9,101.3399,,86.75,85.04,108.42,,,,,,,,,
2003-01-08,92.4,78.03,100.0399,,87.14,85.3,108.75,,,,,,,,,
2003-01-09,93.18,79.06,100.8399,,86.17,84.62,108.0,,,,,,,,,
2003-01-10,93.64,79.25,101.1999,,85.92,84.61,108.2,,,,,,,,,
2003-01-13,93.86,79.63,101.6699,,85.87,84.46,108.25,,,,,,,,,
2003-01-14,93.83,79.45,101.7399,,86.28,84.69,108.7,,,,,,,,,
2003-01-15,93.57,79.4,101.0799,,86.7,85.04,108.25,,,,,,,,,
2003-01-16,92.93,79.5,101.1399,,86.6,84.8,108.04,,,,,,,,,
2003-01-17,92.3,78.97,100.4999,,87.24,85.22,108.3,,,,,,,,,
2003-01-21,90.92,77.54,99.0999,,87.45,85.4,108.38,,,,,,,,,
2003-01-22,89.8,76.35,97.6899,,87.9,85.75,108.65,,,,,,,,,
2003-01-23,89.38,76.54,98.4999,,87.7,85.71,108.75,,,,,,,,,
2003-01-24,88.68,76.0,97.6499,,88.44,86.03,109.36,,,,,,,,,
2003-01-27,86.8,74.61,95.0499,,88.04,85.69,109.05,,,,,,,,,
2003-01-28,86.4,74.45,94.5299,,87.78,85.5,108.78,,,,,,,,,
2003-01-29,87.18,74.8,94.8499,,87.88,85.53,108.9,,,,,,,,,
2003-01-30,86.88,74.81,94.8899,,87.9,85.51,108.68,,,,,,,,,
2003-01-31,86.21,74.24,95.1799,,88.21,85.62,108.85,,,,,,,,,
2003-02-03,86.81,74.48,96.3399,,87.91,85.3,108.52,,,,,,,,,
2003-02-04,85.75,74.0,95.1899,,88.4,85.42,108.8,,,,,,,,,
