,SPY,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,SLV,DBC,USO,UUP,FXE,FXY,VNQ
2003-01-02,88.54,76.07,99.3699,,86.21,84.74,107.01,,,,,,,,,
2003-01-03,90.5,77.33,100.8899,,85.83,84.6,107.26,,,,,,,,,
2003-01-06,91.17,77.77,100.7999,,85.81,84.51,107.15,,,,,,,,,
2003-01-07,92.2,77.64,100.2599,,86.17,84.68,107.41,,,,,,,,,
2003-01-08,91.05,77.2,98.6999,,86.78,85.12,108.2,,,,,,,,,
2003-01-09,91.41,77.98,99.4099,,85.02,84.06,107.03,,,,,,,,,
2003-01-10,91.8,77.71,100.0099,,85.12,84.02,107.32,,,,,,,,,
2003-01-13,92.44,78.18,100.2699,,85.4,84.14,107.54,,,,,,,,,
2003-01-14,92.41,78.52,100.5999,,85.96,84.54,107.82,,,,,,,,,
2003-01-15,91.91,78.15,100.1699,,86.2,84.72,107.72,,,,,,,,,
2003-01-16,91.45,78.38,100.4999,,85.62,84.32,107.25,,,,,,,,,
2003-01-17,90.15,76.9,99.5199,,86.93,85.06,107.76,,,,,,,,,
2003-01-21,88.95,76.08,97.7999,,86.8,84.93,107.75,,,,,,,,,
2003-01-22,88.0,75.46,96.3999,,87.52,85.45,108.1,,,,,,,,,
2003-01-23,87.95,75.57,97.0099,,87.3,85.43,108.27,,,,,,,,,
2003-01-24,86.17,74.38,96.0199,,87.74,85.69,108.664,,,,,,,,,
2003-01-27,84.5,73.13,93.5099,,87.5,85.4,108.144,,,,,,,,,
2003-01-28,85.13,72.69,93.5999,,87.1,85.12,108.17,,,,,,,,,
2003-01-29,84.77,72.48,93.2499,,86.98,85.0,108.05,,,,,,,,,
2003-01-30,84.4,72.97,93.6499,,87.1,84.94,108.01,,,,,,,,,
2003-01-31,84.15,72.65,93.6099,,87.54,85.25,108.2,,,,,,,,,
2003-02-03,85.92,73.25,95.2599,,87.31,84.86,107.75,,,,,,,,,
2003-02-04,84.3,72.45,94.2099,,88.11,85.22,108.13,,,,,,,,,
2003-02-05,84.48,72.69,94.8099,,87.43,84.8,108.01,,,,,,,,,
2003-02-06,83.65,72.27,93.4099,,87.79,85.25,108.26,,,,,,,,,
2003-02-07,82.97,71.28,92.5999,,87.63,85.02,108.25,,,,,,,,,
2003-02-10,82.65,70.89,92.1499,,87.69,85.12,108.06,,,,,,,,,
2003-02-11,82.83,71.048,93.0499,,87.43,85.02,108.21,,,,,,,,,
2003-02-12,82.09,70.67,92.5099,,87.67,85.38,108.5,,,,,,,,,
2003-02-13,81.0,69.94,92.6299,,88.17,85.74,108.51,,,,,,,,,
2003-02-14,81.82,70.51,93.5599,,87.61,85.5,108.25,,,,,,,,,
2003-02-18,84.39,71.85,95.4999,,87.34,85.37,108.25,,,,,,,,,
2003-02-19,84.28,71.33,93.8999,,88.25,85.8,108.7,,,,,,,,,
2003-02-20,84.05,71.4,93.8599,,88.34,85.97,109.0,,,,,,,,,
2003-02-21,83.46,71.15,93.6999,,88.21,85.97,109.0,,,,,,,,,
2003-02-24,83.59,71.2,93.4399,,88.62,86.14,109.31,,,,,,,,,
2003-02-25,82.22,70.35,91.1599,,89.0,86.45,109.46,,,,,,,,,
2003-02-26,83.08,71.01,90.6999,,89.15,86.45,109.55,,,,,,,,,
2003-02-27,83.16,71.3,90.7499,,89.31,86.52,109.72,,,,,,,,,
2003-02-28,84.16,71.67,91.8199,,89.58,86.61,109.98,,,,,,,,,
2003-03-03,83.72,71.26,92.6999,,89.91,86.78,110.11,,,,,,,,,
2003-03-04,82.65,70.8,91.4999,,90.02,86.97,110.25,,,,,,,,,
2003-03-05,82.36,70.584,91.5499,,90.04,87.12,110.25,,,,,,,,,
2003-03-06,82.47,70.15,90.5199,,90.06,87.07,110.25,,,,,,,,,
2003-03-07,81.43,69.52,89.3499,,90.05,87.22,110.24,,,,,,,,,
2003-03-10,81.1,69.05,87.5999,,90.68,87.66,110.53,,,,,,,,,
2003-03-11,80.48,68.75,87.4499,,90.73,87.59,110.35,,,,,,,,,
2003-03-12,79.38,68.23,85.6299,,90.88,87.5,110.2,,,,,,,,,
2003-03-13,81.53,69.24,87.4799,,89.52,86.55,109.27,,,,,,,,,
2003-03-14,83.35,70.35,88.8699,,89.62,86.66,109.35,,,,,,,,,
2003-03-17,83.22,70.18,88.7499,,88.86,86.11,108.85,,,,,,,,,
2003-03-18,86.28,72.23,91.2999,,88.01,85.7,108.28,,,,,,,,,
2003-03-19,86.68,72.6,92.0099,,87.33,85.27,107.83,,,,,,,,,
2003-03-20,86.35,72.06,92.1099,,86.76,85.04,107.75,,,,,,,,,
2003-03-21,87.93,73.78,94.0499,,86.05,84.53,107.57,,,,,,,,,
2003-03-24,86.35,72.81,92.4999,,86.85,85.18,107.98,,,,,,,,,
2003-03-25,86.44,73.0,92.3999,,86.9,85.11,108.35,,,,,,,,,
2003-03-26,86.8,73.04,93.5699,,87.25,85.34,108.65,,,,,,,,,
2003-03-27,85.99,72.6,91.7199,,87.33,85.57,109.01,,,,,,,,,
2003-03-28,86.25,73.19,91.7999,,87.72,85.85,109.4,,,,,,,,,
2003-03-31,84.4,71.95,90.0999,,88.3,86.3,109.7,,,,,,,,,
2003-04-01,84.91,72.22,90.9999,,87.9,85.2,109.3,,,,,,,,,
2003-04-02,87.5,74.13,93.0799,,87.28,85.42,109.21,,,,,,,,,
2003-04-03,87.65,74.6,92.9599,,87.14,85.46,109.5,,,,,,,,,
2003-04-04,87.62,74.33,93.6199,,86.88,85.45,109.31,,,,,,,,,
2003-04-07,87.97,74.58,95.4799,,85.92,84.76,108.57,,,,,,,,,
2003-04-08,87.71,74.36,95.0499,,86.99,85.38,109.14,,,,,,,,,
2003-04-09,86.77,73.82,94.8999,,87.17,85.5,109.41,,,,,,,,,
2003-04-10,85.71,73.97,94.3399,,87.35,85.69,109.5,,,,,,,,,
2003-04-11,86.86,73.77,94.0999,99.6999,86.59,85.2,109.06,,,,,,,,,
2003-04-14,87.0,74.02,94.3099,100.2999,86.71,85.13,108.7,,,,,,,,,
2003-04-15,88.42,74.65,95.6099,101.6199,87.04,85.34,109.32,,,,,,,,,
2003-04-16,88.03,75.06,95.9999,103.2999,87.47,85.49,109.75,,,,,,,,,
2003-04-17,88.19,75.25,96.9599,103.7697,87.8,84.75,110.01,,,,,,,,,
2003-04-21,89.06,76.18,96.7899,103.9998,87.26,85.19,109.88,,,,,,,,,
2003-04-22,88.89,76.2,96.6099,103.7499,87.62,85.41,110.2,,,,,,,,,
2003-04-23,91.24,77.95,98.6699,104.1498,87.6,85.38,110.35,,,,,,,,,
2003-04-24,90.96,78.04,98.1699,102.5997,88.4,85.75,111.14,,,,,,,,,
2003-04-25,90.02,77.23,96.9099,100.9998,88.68,85.99,111.3,,,,,,,,,
2003-04-28,90.3,77.55,97.6499,101.3997,88.78,86.0,111.21,,,,,,,,,
2003-04-29,91.4,78.75,98.7599,104.4099,88.32,85.66,111.02,,,,,,,,,
2003-04-30,91.41,78.6,99.5499,105.1797,88.72,85.8,111.21,,,,,,,,,
2003-05-01,90.5,78.49,99.1499,104.9997,88.8,86.0,111.47,,,,,,,,,
2003-05-02,91.49,79.5,99.5299,105.3798,88.27,85.63,111.24,,,,,,,,,
2003-05-05,92.5,81.26,101.6099,107.0499,88.2,85.52,111.22,,,,,,,,,
2003-05-06,93.0,81.79,102.8999,107.6997,88.52,85.8,111.66,,,,,,,,,
2003-05-07,92.97,81.72,102.6699,107.8098,89.82,86.7,112.81,,,,,,,,,
2003-05-08,92.28,81.07,101.1999,107.0997,90.28,87.06,113.16,,,,,,,,,
2003-05-09,92.61,81.49,101.7999,107.3499,90.2,86.97,112.76,,,,,,,,,
2003-05-12,93.28,82.3,102.4699,108.8997,90.73,87.4,113.16,,,,,,,,,
2003-05-13,94.26,82.75,102.9099,109.0497,90.83,87.36,113.02,,,,,,,,,
2003-05-14,93.91,83.41,103.3499,108.5898,91.62,87.72,113.5,,,,,,,,,
2003-05-15,94.25,83.7,103.4999,108.7497,92.6,87.83,113.51,,,,,,,,,
2003-05-16,94.26,83.05,104.1099,108.7998,92.95,88.21,113.6,,,,,,,,,
2003-05-19,92.33,81.53,102.0999,106.0998,93.13,88.45,113.981,,,,,,,,,
2003-05-20,91.59,80.86,102.5199,106.4499,93.12,88.44,113.85,,,,,,,,,
2003-05-21,91.91,81.17,101.8099,106.2798,94.12,88.84,114.12,,,,,,,,,
2003-05-22,92.68,81.85,102.6699,107.1498,94.9,89.01,114.6,,,,,,,,,
2003-05-23,93.14,82.39,103.4099,108.8499,95.64,89.14,115.134,,,,,,,,,
2003-05-27,93.07,83.27,103.4499,109.4598,94.12,88.85,114.64,,,,,,,,,
2003-05-28,95.43,85.6,104.9599,113.1099,93.31,88.47,114.3,,,,,,,,,
2003-05-29,95.08,85.14,105.6699,113.2998,94.071,89.08,115.02,,,,,,,,,
2003-05-30,95.56,86.87,105.9999,113.7699,93.97,88.89,114.86,,,,,,,,,
2003-06-02,96.67,88.14,106.8499,115.3998,93.09,88.51,114.02,,,,,,,,,
2003-06-03,96.85,88.0,106.5599,114.0699,93.71,88.97,114.53,,,,,,,,,
2003-06-04,97.57,88.69,106.9499,114.9999,94.05,89.24,114.91,,,,,,,,,
2003-06-05,98.27,89.348,108.3099,115.8597,93.8,89.19,115.01,,,,,,,,,
2003-06-06,99.13,90.4,109.3299,117.2397,93.38,88.84,115.0,,,,,,,,,
2003-06-09,97.77,88.68,108.7499,116.3298,94.27,89.37,115.49,,,,,,,,,
2003-06-10,98.19,88.96,109.2099,116.7399,95.07,89.9,116.12,,,,,,,,,
2003-06-11,98.71,89.28,110.3099,116.9997,95.7,89.94,116.31,,,,,,,,,
2003-06-12,99.62,90.8,111.4099,118.1097,96.01,90.03,116.48,,,,,,,,,
2003-06-13,98.95,89.57,111.1299,118.5198,96.76,90.47,116.99,,,,,,,,,
2003-06-16,99.8,89.85,112.2899,119.0499,96.26,90.14,116.75,,,,,,,,,
2003-06-17,101.23,90.64,113.1899,121.3596,95.4,89.62,116.2,,,,,,,,,
2003-06-18,101.0,90.57,112.6999,121.8798,94.2,89.1,115.6,,,,,,,,,
2003-06-19,99.84,89.66,111.3099,121.9998,93.5,88.85,115.35,,,,,,,,,
2003-06-20,99.42,89.25,111.2899,121.7997,93.03,88.86,115.15,,,,,,,,,
2003-06-23,97.92,87.39,110.0499,119.1198,93.53,89.1,115.26,,,,,,,,,
2003-06-24,98.02,86.98,109.1099,117.5997,94.01,89.42,115.61,,,,,,,,,
2003-06-25,97.53,87.67,108.5999,118.5699,93.45,89.01,115.23,,,,,,,,,
2003-06-26,96.96,88.4,108.5599,119.6097,92.12,88.23,114.15,,,,,,,,,
2003-06-27,97.58,89.17,108.1899,119.6799,91.55,87.89,113.81,,,,,,,,,
2003-06-30,97.47,88.1,108.2999,119.6997,91.68,88.12,114.01,,,,,,,,,
2003-07-01,96.43,87.75,107.6799,119.9997,91.51,87.93,113.283,,,,,,,,,
2003-07-02,98.57,89.87,109.8599,122.5497,91.11,87.53,112.87,,,,,,,,,
2003-07-03,97.9,90.81,110.2299,124.1496,90.6,87.49,113.0,,,,,,,,,
2003-07-07,99.65,91.85,111.7699,125.6997,90.02,87.06,112.33,,,,,,,,,
2003-07-08,100.17,92.6875,111.3099,127.2498,89.63,86.91,112.1,,,,,,,,,
2003-07-09,100.03,93.74,110.7999,126.9996,90.11,87.13,112.65,,,,,,,,,
2003-07-10,98.63,93.16,110.1499,124.8996,90.12,87.28,113.0,,,,,,,,,
2003-07-11,99.39,93.6,109.8399,125.2998,90.21,87.34,113.2,,,,,,,,,
2003-07-14,100.45,94.6,111.3099,127.7496,89.63,87.25,113.07,,,,,,,,,
2003-07-15,99.95,94.49,110.2499,126.9498,87.4,85.89,111.43,,,,,,,,,
2003-07-16,99.23,94.1,109.2799,126.3297,87.15,85.52,111.0,,,,,,,,,
2003-07-17,98.16,91.58,107.9099,123.7296,87.18,85.46,111.0,,,,,,,,,
2003-07-18,98.46,91.54,108.6999,123.9498,87.44,85.68,111.21,,,,,,,,,
2003-07-21,97.85,90.82,108.7499,123.5598,85.65,84.4,110.01,,,,,,,,,
2003-07-22,97.92,91.12,108.6999,123.8997,85.44,84.48,109.83,,,,,,,,,
2003-07-23,98.28,91.68,109.4999,123.6597,86.4,85.08,110.7,,,,,,,,,
2003-07-24,98.37,92.67,110.5899,124.9998,85.55,84.65,110.13,,,,,,,,,
2003-07-25,98.04,92.29,110.8199,125.7498,85.4,84.64,109.95,,,,,,,,,
2003-07-28,99.67,93.58,111.9599,127.3998,84.4,84.06,109.15,,,,,,,,,
2003-07-29,98.68,93.6,111.5499,126.8997,83.26,83.27,108.12,,,,,,,,,
2003-07-30,98.93,93.84,110.5899,125.8497,83.57,83.65,108.37,,,,,,,,,
2003-07-31,99.17,94.47,109.7599,126.2997,82.23,82.7,107.0,,,,,,,,,
2003-08-01,98.24,93.05,109.6099,126.8097,81.98,82.64,106.2,,,,,,,,,
2003-08-04,97.0,91.67,109.4099,125.9997,82.35,83.0,106.72,,,,,,,,,
2003-08-05,96.34,90.81,109.2199,125.0598,81.8,82.83,106.73,,,,,,,,,
2003-08-06,96.42,90.15,109.0099,124.1796,82.37,83.22,106.798,,,,,,,,,
2003-08-07,96.76,89.63,108.8299,125.0997,83.139,83.69,107.4,,,,,,,,,
