,SPY,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,SLV,DBC,USO,UUP,FXE,FXY,VNQ
2003-01-02,88.85,76.5,99.8399,,87.7,85.6,108.97,,,,,,,,,
2003-01-03,90.91,78.0,101.2999,,86.15,84.7,107.6,,,,,,,,,
2003-01-06,91.24,77.77,101.0999,,86.17,84.8,107.75,,,,,,,,,
2003-01-07,92.9,78.7,100.8299,,86.19,84.72,107.85,,,,,,,,,
2003-01-08,92.2,77.9,98.7999,,86.88,85.17,108.6,,,,,,,,,
2003-01-09,91.82,77.98,99.4099,,86.17,84.58,108.0,,,,,,,,,
2003-01-10,91.95,77.83,100.4299,,85.92,84.56,108.2,,,,,,,,,
2003-01-13,93.54,79.32,101.3499,,85.54,84.2,108.0,,,,,,,,,
2003-01-14,92.69,78.9,100.8999,,86.0,84.6,108.7,,,,,,,,,
2003-01-15,93.54,79.17,101.0799,,86.28,84.76,108.2,,,,,,,,,
2003-01-16,92.5,79.0,101.0999,,86.38,84.66,108.0,,,,,,,,,
2003-01-17,90.99,77.88,100.3999,,87.1,85.15,108.25,,,,,,,,,
2003-01-21,90.87,77.4,98.7999,,86.88,84.93,108.0,,,,,,,,,
2003-01-22,88.77,75.77,96.8499,,87.68,85.55,108.25,,,,,,,,,
2003-01-23,88.75,75.95,98.4999,,87.32,85.43,108.3,,,,,,,,,
2003-01-24,88.59,76.0,97.6499,,87.74,85.8,108.94,,,,,,,,,
2003-01-27,85.73,74.0,94.3499,,87.9,85.63,109.05,,,,,,,,,
2003-01-28,85.63,73.8,94.1499,,87.65,85.44,108.3,,,,,,,,,
2003-01-29,85.42,73.54,93.2999,,87.83,85.53,108.9,,,,,,,,,
2003-01-30,86.79,74.67,94.8699,,87.2,85.0,108.3,,,,,,,,,
2003-01-31,84.15,72.85,93.9499,,87.9,85.62,108.75,,,,,,,,,
2003-02-03,86.14,74.4,95.5899,,87.67,85.25,107.75,,,,,,,,,
2003-02-04,85.31,73.05,94.6199,,88.37,85.39,108.2,,,,,,,,,
2003-02-05,85.75,73.92,95.2799,,88.23,85.26,108.62,,,,,,,,,
2003-02-06,84.37,72.83,94.0199,,87.84,85.28,108.7,,,,,,,,,
2003-02-07,84.91,73.04,93.9499,,87.77,85.09,108.6,,,,,,,,,
2003-02-10,83.46,71.4,92.9099,,88.12,85.4,108.85,,,,,,,,,
2003-02-11,84.37,72.28,93.0499,,87.6,85.16,108.21,,,,,,,,,
2003-02-12,83.16,71.627,93.2799,,87.8,85.46,108.94,,,,,,,,,
2003-02-13,82.15,70.84,93.1999,,88.27,85.8,108.74,,,,,,,,,
2003-02-14,82.37,70.76,93.9899,,88.3,85.81,108.95,,,,,,,,,
2003-02-18,84.53,71.85,95.6999,,87.56,85.52,108.5,,,,,,,,,
2003-02-19,85.32,72.55,94.9199,,88.39,85.8,108.94,,,,,,,,,
2003-02-20,85.21,71.92,94.8999,,88.34,86.02,109.16,,,,,,,,,
2003-02-21,84.38,71.7,93.6999,,88.56,86.27,109.75,,,,,,,,,
2003-02-24,84.93,72.194,94.0099,,88.88,86.29,109.6,,,,,,,,,
2003-02-25,82.95,70.9,91.9999,,89.4,86.56,109.99,,,,,,,,,
2003-02-26,84.02,71.79,91.1999,,89.38,86.51,109.99,,,,,,,,,
2003-02-27,83.7,71.87,91.2299,,89.46,86.7,110.0,,,,,,,,,
2003-02-28,84.47,72.09,92.2299,,89.68,86.75,110.46,,,,,,,,,
2003-03-03,85.26,72.5,93.8799,,90.0,86.81,110.6,,,,,,,,,
2003-03-04,83.95,71.65,92.4999,,90.13,87.02,110.41,,,,,,,,,
2003-03-05,82.61,70.77,91.7999,,90.62,87.38,110.9,,,,,,,,,
2003-03-06,82.87,70.504,90.8999,,90.55,87.37,110.9,,,,,,,,,
2003-03-07,81.61,69.75,89.7499,,90.72,87.72,110.76,,,,,,,,,
2003-03-10,82.6,69.99,88.1999,,90.81,87.66,110.54,,,,,,,,,
2003-03-11,81.48,69.33,87.7999,,90.99,87.78,110.98,,,,,,,,,
2003-03-12,80.38,68.886,86.7399,,90.92,87.67,110.5,,,,,,,,,
2003-03-13,82.18,69.8,87.7599,,90.15,86.94,109.52,,,,,,,,,
2003-03-14,84.2,71.1,89.4699,,89.9,86.75,109.55,,,,,,,,,
2003-03-17,83.46,70.55,88.8099,,90.52,87.1,109.8,,,,,,,,,
2003-03-18,87.15,72.9,92.3899,,88.96,86.25,109.02,,,,,,,,,
2003-03-19,87.28,73.45,92.4999,,88.04,85.65,108.7,,,,,,,,,
2003-03-20,87.33,73.1,92.6799,,87.82,85.6,108.64,,,,,,,,,
2003-03-21,88.8,74.33,94.6099,,86.92,85.13,108.3,,,,,,,,,
2003-03-24,88.02,73.7,93.7499,,87.1,85.25,108.0,,,,,,,,,
2003-03-25,86.74,73.12,92.3999,,87.65,85.5,108.55,,,,,,,,,
2003-03-26,87.56,73.93,94.0999,,87.25,85.4,108.65,,,,,,,,,
2003-03-27,86.4,72.7,92.7399,,87.75,85.79,109.44,,,,,,,,,
2003-03-28,86.47,73.19,91.7999,,87.92,86.03,109.45,,,,,,,,,
2003-03-31,85.35,72.65,90.7499,,88.3,86.3,109.7,,,,,,,,,
2003-04-01,85.25,72.7,91.6899,,88.4,86.23,109.8,,,,,,,,,
2003-04-02,87.54,74.47,93.1999,,87.65,85.6,109.4,,,,,,,,,
2003-04-03,88.87,75.4,93.6399,,87.25,85.49,109.74,,,,,,,,,
2003-04-04,88.43,75.08,93.7999,,87.06,85.54,109.74,,,,,,,,,
2003-04-07,90.34,76.15,96.6899,,86.22,84.85,109.02,,,,,,,,,
2003-04-08,88.3,74.7,95.5299,,87.05,85.38,109.5,,,,,,,,,
2003-04-09,88.36,74.732,95.9899,,87.4,85.72,109.8,,,,,,,,,
2003-04-10,87.09,74.35,95.1999,,87.75,85.87,110.0,,,,,,,,,
2003-04-11,88.16,74.77,95.0999,100.1199,86.82,85.3,109.3,,,,,,,,,
2003-04-14,87.47,74.02,94.7099,100.2999,87.1,85.48,109.32,,,,,,,,,
2003-04-15,88.84,75.15,96.2899,101.6199,87.33,85.6,109.82,,,,,,,,,
2003-04-16,89.91,76.12,96.6199,103.2999,87.53,85.49,110.1,,,,,,,,,
2003-04-17,88.3,75.37,97.1899,103.9497,88.24,85.95,110.6,,,,,,,,,
2003-04-21,89.86,76.48,97.2999,104.2398,87.48,85.36,110.1,,,,,,,,,
2003-04-22,89.1,76.2,96.6099,104.0697,88.15,85.73,110.59,,,,,,,,,
2003-04-23,91.62,77.95,98.8999,104.4999,87.78,85.52,110.35,,,,,,,,,
2003-04-24,91.53,78.311,98.9999,104.0997,88.4,85.75,111.14,,,,,,,,,
2003-04-25,91.3,78.25,97.2999,101.4099,88.75,86.01,111.8,,,,,,,,,
2003-04-28,90.44,77.809,97.6499,101.4099,89.09,86.35,111.64,,,,,,,,,
2003-04-29,92.14,78.866,99.2499,104.4099,88.53,85.84,111.4,,,,,,,,,
2003-04-30,91.91,78.85,100.1299,105.4998,88.79,85.85,111.3,,,,,,,,,
2003-05-01,91.92,79.5,100.0599,105.1497,89.2,86.24,112.1,,,,,,,,,
2003-05-02,91.56,79.5,99.9299,105.3798,89.06,86.04,111.61,,,,,,,,,
2003-05-05,93.47,81.53,102.0999,107.0499,88.31,85.66,111.7,,,,,,,,,
2003-05-06,93.04,81.86,102.8999,107.7999,88.84,85.96,112.15,,,,,,,,,
2003-05-07,93.42,82.08,103.3299,107.8998,90.0,86.7,113.25,,,,,,,,,
2003-05-08,92.52,81.38,101.7399,107.4999,90.6,87.3,113.8,,,,,,,,,
2003-05-09,92.83,81.72,101.7999,107.3499,90.3,87.02,113.45,,,,,,,,,
2003-05-12,93.5,82.36,102.9999,108.9498,91.14,87.8,113.99,,,,,,,,,
2003-05-13,94.53,83.37,102.9099,109.5798,90.9,87.37,113.27,,,,,,,,,
2003-05-14,95.09,84.09,104.4399,109.3497,91.83,87.91,113.85,,,,,,,,,
2003-05-15,94.89,84.038,104.2699,109.0197,92.6,87.89,113.6,,,,,,,,,
2003-05-16,94.89,84.11,104.3299,109.0998,93.48,88.4,114.0,,,,,,,,,
2003-05-19,94.15,82.6,103.9799,108.3999,94.11,88.92,114.46,,,,,,,,,
2003-05-20,92.82,81.74,102.6999,106.7499,93.15,88.45,114.4,,,,,,,,,
2003-05-21,92.11,81.37,102.3599,106.8399,94.25,88.84,114.6,,,,,,,,,
2003-05-22,92.95,81.95,102.8499,107.1498,95.1,89.08,114.6,,,,,,,,,
2003-05-23,93.53,82.77,103.7499,108.8499,95.77,89.36,115.7,,,,,,,,,
2003-05-27,93.3,83.27,103.6499,109.4598,95.62,89.26,115.63,,,,,,,,,
2003-05-28,95.85,85.6,105.0999,113.1099,93.9,88.67,115.0,,,,,,,,,
2003-05-29,95.88,86.37,105.6999,113.4999,94.3,89.12,115.35,,,,,,,,,
2003-05-30,95.9,87.15,106.3999,113.9997,94.45,89.21,115.5,,,,,,,,,
2003-06-02,97.53,88.75,107.3399,115.3998,93.88,88.7,114.75,,,,,,,,,
2003-06-03,97.15,88.42,107.2399,115.9998,93.76,88.97,114.94,,,,,,,,,
2003-06-04,97.66,88.75,106.9499,114.9999,94.46,89.49,115.49,,,,,,,,,
2003-06-05,98.58,89.65,108.6699,116.9199,95.2,89.76,115.6,,,,,,,,,
2003-06-06,100.4,92.4,110.3999,117.2499,93.7,88.97,115.32,,,,,,,,,
2003-06-09,98.77,90.2,109.3999,117.8598,94.7,89.53,115.99,,,,,,,,,
2003-06-10,98.46,88.98,109.6099,116.7399,95.08,89.9,116.35,,,,,,,,,
2003-06-11,99.16,90.0,110.4499,117.8499,96.25,90.21,116.51,,,,,,,,,
2003-06-12,100.75,91.48,112.2299,118.1997,96.11,90.08,116.48,,,,,,,,,
2003-06-13,100.61,91.35,112.2799,118.6098,96.93,90.52,117.25,,,,,,,,,
2003-06-16,99.96,90.2,112.2899,119.1999,97.5,90.8,117.9,,,,,,,,,
2003-06-17,102.07,91.63,113.7899,121.3596,95.97,89.96,117.04,,,,,,,,,
2003-06-18,101.29,90.98,112.6999,122.2698,95.06,89.44,116.05,,,,,,,,,
2003-06-19,101.64,91.5,111.9999,123.1497,93.96,89.14,115.5,,,,,,,,,
2003-06-20,100.39,90.3,112.2999,122.4996,93.9,89.02,115.8,,,,,,,,,
2003-06-23,99.45,89.35,111.3299,121.7496,93.819,89.12,115.3,,,,,,,,,
2003-06-24,98.22,87.42,109.4799,118.6497,94.15,89.57,115.9,,,,,,,,,
2003-06-25,98.53,87.67,109.7399,118.5699,95.42,90.16,116.75,,,,,,,,,
2003-06-26,97.78,88.55,109.0299,119.8197,93.25,88.86,115.22,,,,,,,,,
2003-06-27,98.75,90.0,109.2299,120.6996,92.55,88.47,114.85,,,,,,,,,
2003-06-30,98.22,89.69,109.5299,120.3198,91.92,88.23,114.5,,,,,,,,,
2003-07-01,97.25,88.81,107.9999,120.3498,92.15,88.23,114.2,,,,,,,,,
2003-07-02,98.77,89.87,109.9899,122.5497,91.2,87.53,113.32,,,,,,,,,
2003-07-03,99.07,91.02,110.5899,124.3998,91.7,88.02,114.0,,,,,,,,,
2003-07-07,99.65,91.85,111.8299,125.6997,90.28,87.16,112.9,,,,,,,,,
2003-07-08,100.5,92.8,111.4499,127.7196,90.43,87.38,112.7,,,,,,,,,
2003-07-09,100.92,94.52,111.7399,127.7496,90.53,87.33,112.9,,,,,,,,,
2003-07-10,99.84,94.7,110.1499,126.8397,90.69,87.52,113.6,,,,,,,,,
2003-07-11,99.39,93.72,110.3899,125.2998,90.3,87.34,113.45,,,,,,,,,
2003-07-14,101.2,95.47,111.8499,127.7496,90.68,87.67,113.25,,,,,,,,,
2003-07-15,101.38,96.3,112.2499,129.1998,89.54,87.16,113.25,,,,,,,,,
2003-07-16,100.81,95.66,110.7399,126.6996,87.41,85.52,111.0,,,,,,,,,
2003-07-17,99.15,93.77,108.3799,126.2496,87.33,85.47,111.65,,,,,,,,,
2003-07-18,99.02,92.2,108.8499,123.9498,87.65,85.82,111.75,,,,,,,,,
2003-07-21,99.45,92.11,109.3399,124.8897,87.5,85.44,111.6,,,,,,,,,
2003-07-22,98.69,91.72,109.3499,124.0398,85.97,84.68,110.15,,,,,,,,,
2003-07-23,99.21,92.55,109.7799,124.7997,86.8,85.25,111.1,,,,,,,,,
2003-07-24,99.99,93.66,111.6499,125.2497,85.9,84.8,110.74,,,,,,,,,
2003-07-25,98.66,92.95,111.7899,125.9196,85.98,84.9,110.7,,,,,,,,,
2003-07-28,100.37,93.64,111.9599,127.7997,85.24,84.45,109.75,,,,,,,,,
2003-07-29,100.14,94.95,112.7899,127.9497,84.18,83.97,109.0,,,,,,,,,
2003-07-30,99.6,94.95,111.8999,126.7296,83.74,83.7,108.48,,,,,,,,,
2003-07-31,99.98,95.0,111.2899,126.2997,83.69,83.5,108.35,,,,,,,,,
2003-08-01,99.19,94.75,109.9999,126.9498,82.1,82.71,106.7,,,,,,,,,
