,SPY,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,SLV,DBC,USO,UUP,FXE,FXY,VNQ
2003-01-02,44516300,4014200,860701,,192100,106700,66700,,,,,,,,,
2003-01-03,32222600,3222200,663001,,311200,518400,23800,,,,,,,,,
2003-01-06,40984500,2919200,1602602,,35600,214500,623000,,,,,,,,,
2003-01-07,38640400,3013800,6725407,,69800,101700,45100,,,,,,,,,
2003-01-08,38702200,3288400,709201,,160100,162600,107600,,,,,,,,,
2003-01-09,34804900,3828600,2422503,,237500,98000,55600,,,,,,,,,
2003-01-10,37768900,2698000,675901,,145200,235800,82100,,,,,,,,,
2003-01-13,31649900,1759000,1176901,,53300,219700,53300,,,,,,,,,
2003-01-14,30733000,1566400,1388701,,98900,204500,239200,,,,,,,,,
2003-01-15,33511800,2381600,499201,,129600,239000,111500,,,,,,,,,
2003-01-16,44812100,2323000,717301,,57900,205700,185900,,,,,,,,,
2003-01-17,35618300,2416600,805501,,97700,60100,1489000,,,,,,,,,
2003-01-21,36826200,2134600,1443902,,107500,82600,37600,,,,,,,,,
2003-01-22,42286500,3337600,1064401,,107100,120500,39300,,,,,,,,,
2003-01-23,55919800,2213000,821401,,110700,78300,200300,,,,,,,,,
2003-01-24,68633900,3565000,541201,,285300,209400,1025300,,,,,,,,,
2003-01-27,57884400,3477400,1155301,,150500,413800,819100,,,,,,,,,
2003-01-28,46929100,2633200,1166701,,454700,1596500,691100,,,,,,,,,
2003-01-29,53712200,4012400,1705502,,221400,83200,38100,,,,,,,,,
2003-01-30,49845900,3349400,1506002,,108600,31700,812000,,,,,,,,,
2003-01-31,55317000,5831000,1015801,,182300,44000,128300,,,,,,,,,
2003-02-03,39696000,2648800,619201,,55200,57400,25300,,,,,,,,,
2003-02-04,43633400,4471200,653401,,56900,88700,557200,,,,,,,,,
2003-02-05,55270600,3436600,801001,,223300,138100,118900,,,,,,,,,
2003-02-06,53638000,6960800,523201,,120900,92500,29600,,,,,,,,,
2003-02-07,43165000,8105600,546601,,247200,44200,266500,,,,,,,,,
2003-02-10,45455900,2130400,532201,,76600,29100,425700,,,,,,,,,
2003-02-11,46861000,3132400,721801,,259100,272100,133300,,,,,,,,,
2003-02-12,35873600,7394600,596701,,121300,50300,35300,,,,,,,,,
2003-02-13,57934100,3506600,501001,,440200,107100,79200,,,,,,,,,
2003-02-14,59580900,2653800,594301,,829700,51300,75900,,,,,,,,,
2003-02-18,39492700,1881000,640201,,213200,62600,930400,,,,,,,,,
2003-02-19,31432000,4073800,2189702,,62100,34600,27200,,,,,,,,,
2003-02-20,29280100,2898200,250800,,486700,59400,164900,,,,,,,,,
2003-02-21,60955800,2668800,1104001,,250400,21500,81200,,,,,,,,,
2003-02-24,30628600,2530000,694801,,168200,47000,125200,,,,,,,,,
2003-02-25,56770600,2659400,1611002,,358500,72800,163800,,,,,,,,,
2003-02-26,37787200,1955600,1377601,,334000,52900,32300,,,,,,,,,
2003-02-27,51126000,2940800,1026001,,695700,209300,89700,,,,,,,,,
2003-02-28,43666800,1458600,909301,,213300,80700,81200,,,,,,,,,
2003-03-03,42923100,2962200,718201,,204100,24800,196700,,,,,,,,,
2003-03-04,31440500,1724800,1403701,,83100,41100,96400,,,,,,,,,
2003-03-05,43974700,1838200,746701,,126000,50500,23900,,,,,,,,,
2003-03-06,41217700,1848200,765301,,166000,83600,48000,,,,,,,,,
2003-03-07,63538000,2813200,711001,,263800,79800,28400,,,,,,,,,
2003-03-10,41014100,2209200,1649402,,147200,58500,48600,,,,,,,,,
2003-03-11,48102700,2102800,1033501,,82800,61200,49700,,,,,,,,,
