,EWJ,EWG,EWU,EWQ,EWI,EWP,EWL,EWA,EWC,EWY,EWT,EWZ,EWW,EWS,EWH,EWD
2003-01-02,19.9131,6.1718,10.1656,8.2244,14.0978,7.758,7.2954,3.3135,6.2498,13.5793,7.2469,3.3017,8.0524,3.4945,3.6515,4.8275
2003-01-03,19.885,6.3023,10.207,8.1707,14.2378,,7.5295,3.3386,6.2627,14.2084,7.2556,3.4165,7.9009,3.4149,3.6709,4.9477
2003-01-06,20.2506,6.4922,10.2153,8.3911,14.5086,8.0128,7.6336,3.4389,6.4175,14.5989,7.4917,3.6011,7.9979,3.4945,3.6853,4.9332
2003-01-07,19.6037,6.338,9.934,8.1223,14.1911,8.1122,7.588,3.421,6.424,14.0638,7.5791,3.5478,8.01,3.391,3.637,4.914
2003-01-08,19.3506,6.1421,9.9092,8.0632,14.1445,8.1554,7.4905,3.4066,6.2821,13.8469,7.5529,3.4329,7.9312,3.4387,3.6419,4.789
2003-01-09,19.66,6.2727,10.0167,8.2083,14.3779,8.2677,7.536,3.4568,6.3337,13.8469,7.8413,3.5765,8.0039,3.4308,3.6998,4.8563
2003-01-10,19.4631,6.2905,10.0002,8.1814,14.1911,8.2979,7.523,3.489,6.3724,13.5721,7.7976,3.6872,8.0524,3.4547,3.6805,4.9717
2003-01-13,19.4631,6.338,9.9258,8.2674,14.2005,8.4621,7.497,3.421,6.424,14.0132,8.1036,3.6913,8.0464,3.5979,3.7192,4.9909
2003-01-14,19.8287,6.4092,10.0829,8.3104,14.2658,8.5484,7.8286,3.5033,6.482,14.2373,8.0861,3.6872,7.9979,3.6457,3.7385,5.0294
2003-01-15,19.9975,6.332,9.9175,8.0578,14.2192,8.4491,7.549,3.489,6.4433,13.8107,7.9987,3.5683,8.0645,3.6139,3.724,4.9525
2003-01-16,20.1944,6.3261,9.9588,8.0847,14.3779,8.5312,7.4645,3.4926,6.424,13.9698,7.8064,3.6052,8.0221,3.6139,3.6805,4.9573
2003-01-17,20.0819,6.1243,9.7934,7.9557,14.1351,8.3627,7.419,3.5033,6.4433,13.507,7.7627,3.4534,7.7555,3.59,3.7047,4.813
2003-01-21,20.0256,5.9938,9.5453,7.7944,13.5936,8.259,7.3735,3.4747,6.3208,13.5793,7.6752,3.2935,7.5677,3.59,3.5887,4.8082
2003-01-22,19.9694,5.8988,9.4295,7.6493,13.4536,8.1424,7.1654,3.4138,6.3079,13.3046,7.8238,3.1991,7.4465,3.5263,3.6081,4.7938
2003-01-23,20.3913,6.0353,9.4874,7.7084,13.5189,8.3152,7.1654,3.4425,6.4304,13.7456,8.1648,3.1622,7.501,3.59,3.6902,4.7409
2003-01-24,20.1381,5.8217,9.3385,7.6869,13.2949,8.2677,7.1394,3.4783,6.3208,12.8779,7.6578,3.0146,7.3314,3.5502,3.5936,4.8227
2003-01-27,19.7444,5.6377,9.049,7.3644,13.0988,7.9523,6.8988,3.4245,6.1982,12.6538,7.7364,2.9654,7.2647,3.4308,3.5887,4.5967
2003-01-28,19.66,5.7682,9.1813,7.359,13.2575,7.9912,6.8728,3.3995,6.1918,13.1889,7.9462,3.0023,7.1254,3.5024,3.6032,4.6736
2003-01-29,19.3787,5.8395,9.2971,7.5256,13.2855,7.9048,6.9703,3.3672,6.2563,12.7261,7.8413,3.1458,7.1981,3.4547,3.6226,4.5678
2003-01-30,19.0693,5.7148,9.2723,7.6062,13.5096,7.84,7.0549,3.3386,6.2563,12.5526,7.7364,3.1335,7.1739,3.2955,3.5598,4.5967
2003-01-31,19.0412,5.8276,9.6693,7.6708,13.659,7.8832,6.9573,3.3816,6.3466,12.7478,7.7889,3.2279,7.2042,3.2955,3.6129,4.5582
2003-02-03,19.2944,5.8454,9.6611,7.8481,13.883,7.9091,6.9638,3.3171,6.2756,13.0659,7.8676,3.2114,7.2769,3.3114,3.6419,4.5486
2003-02-04,19.3225,5.6377,9.4626,7.6708,13.5003,7.8444,7.0809,3.3207,6.2885,12.7695,7.8151,3.113,7.2042,3.3034,3.5115,4.4524
2003-02-05,19.4069,5.6614,9.4708,7.5901,13.5096,,7.0223,3.3063,6.2305,12.8707,7.8763,3.154,7.2405,3.3114,3.5115,
2003-02-06,19.2662,5.6021,9.3468,7.4719,13.3602,7.7752,6.9768,3.2813,6.2111,12.5815,7.3256,3.0802,7.1193,3.2875,3.5259,4.5005
