,EWJ,EWG,EWU,EWQ,EWI,EWP,EWL,EWA,EWC,EWY,EWT,EWZ,EWW,EWS,EWH,EWD
2003-01-02,7.0,609.0,12.1,14.84,14.91,17.96,5.53,9.12,9.45,18.46,8.19,0.8856,12.79,4.26,738.0,9.76
2003-01-03,7.0,628.2,12.2,15.17,15.1,,5.68,9.17,9.71,19.11,8.29,0.9067,12.89,4.27,747.0,10.29
2003-01-06,7.08,634.8,12.16,15.28,15.28,18.36,5.75,9.47,9.76,19.62,8.51,0.96,13.01,4.27,747.0,10.21
2003-01-07,6.96,630.6,12.01,15.07,15.05,18.77,5.71,9.5,9.83,19.1,8.45,0.9567,13.1,4.26,753.0,10.21
2003-01-08,6.82,615.6,11.86,14.81,14.95,18.76,5.76,9.5,9.72,19.15,8.57,0.93,13.0,4.26,746.0,9.96
2003-01-09,6.93,621.6,11.91,15.07,15.08,19.14,5.725,9.5,9.74,18.81,8.7,0.9467,13.06,4.31,756.0,9.95
2003-01-10,6.89,621.6,12.09,15.16,15.16,19.11,5.785,9.51,9.8,18.45,8.81,0.9733,12.96,4.29,755.0,10.16
2003-01-13,6.92,636.6,11.96,15.15,15.19,19.59,5.765,9.55,9.96,19.06,9.2,0.9833,13.05,4.51,762.0,10.25
2003-01-14,7.0,639.0,12.01,15.46,15.27,19.74,5.775,9.59,9.96,19.37,9.16,0.9867,13.15,4.54,762.0,10.36
2003-01-15,7.06,630.0,11.88,14.99,15.23,19.56,5.805,9.71,9.84,19.08,9.01,0.9656,13.11,4.47,770.0,10.28
2003-01-16,7.09,633.0,11.88,15.04,15.21,19.65,5.74,9.71,9.91,19.11,8.92,0.9711,13.15,4.5,760.0,10.25
2003-01-17,7.11,619.2,11.83,14.8,14.92,19.36,5.7,9.66,9.84,18.5,8.71,0.9356,12.71,4.51,750.0,10.01
2003-01-21,7.08,606.0,11.45,14.5,14.53,19.11,5.605,9.62,9.79,18.5,8.73,0.89,12.41,4.42,741.0,10.0
2003-01-22,7.05,586.8,11.29,14.19,14.37,18.85,5.505,9.53,9.71,18.25,8.9,0.8667,12.13,4.42,745.0,9.9
2003-01-23,7.2,589.8,11.26,14.17,14.35,19.16,5.51,9.58,9.84,18.45,9.16,0.8567,12.22,4.41,753.0,9.86
2003-01-24,7.12,585.0,11.2,14.06,14.24,19.05,5.41,9.53,9.8,17.8,8.71,0.8111,12.06,4.4,741.0,9.89
2003-01-27,6.97,567.6,10.82,13.6,14.0,18.3,5.305,9.55,9.6,17.41,8.7,0.7789,11.85,4.28,724.0,9.56
2003-01-28,6.93,570.0,10.95,13.67,14.08,18.22,5.285,9.3,9.56,17.61,8.79,0.8,11.71,4.33,741.0,9.5
2003-01-29,6.85,566.4,11.0,13.71,14.2,18.29,5.28,9.25,9.53,17.32,8.85,0.8133,11.7,4.3,736.0,9.5
2003-01-30,6.78,570.0,11.2,14.11,14.4,18.15,5.425,9.26,9.61,17.36,8.85,0.8278,11.78,4.14,727.0,9.56
2003-01-31,6.71,576.6,11.14,14.14,14.47,18.25,5.345,9.2,9.53,17.42,8.81,0.8511,11.71,4.14,735.0,9.48
2003-02-03,6.82,578.4,11.54,14.35,14.64,18.3,5.35,9.18,9.68,17.6,8.76,0.8667,11.85,4.14,742.0,9.46
2003-02-04,6.75,567.0,11.4,14.07,14.46,18.06,5.355,9.1,9.56,17.64,8.7,0.8433,11.85,4.13,727.0,9.25
2003-02-05,6.9,572.4,11.45,14.12,14.42,,5.4,9.23,9.62,17.67,8.81,0.8467,11.95,4.16,727.0,
