,EWJ,EWG,EWU,EWQ,EWI,EWP,EWL,EWA,EWC,EWY,EWT,EWZ,EWW,EWS,EWH,EWD
2003-01-02,7.0,609.0,12.2,14.84,14.92,17.96,5.585,9.19,9.65,18.69,8.29,0.9011,12.79,4.34,743.0,9.76
2003-01-03,7.05,637.8,12.29,15.18,15.15,,5.68,9.3,9.71,19.5,8.3,0.9422,12.91,4.39,747.0,10.29
2003-01-06,7.15,634.8,12.2,15.28,15.28,18.36,5.75,9.5,9.86,19.81,8.6,0.9833,13.24,4.27,747.0,10.38
2003-01-07,7.02,636.0,12.22,15.3,15.25,18.84,5.71,9.6,9.95,19.48,8.53,0.9711,13.3,4.28,755.0,10.21
2003-01-08,6.85,627.6,12.0,14.87,14.95,18.89,5.78,9.5,9.95,19.35,8.83,0.9589,13.3,4.26,747.0,10.03
2003-01-09,6.93,623.4,12.0,15.1,15.08,19.14,5.725,9.5,9.76,18.99,8.75,0.9722,13.15,4.33,770.0,9.95
2003-01-10,6.94,626.4,12.18,15.17,15.2,19.11,5.85,9.6,9.81,18.82,8.93,0.98,13.21,4.31,774.0,10.16
2003-01-13,6.98,643.8,12.09,15.45,15.45,19.69,5.835,9.66,10.0,19.06,9.33,0.9922,13.2,4.59,774.0,10.25
2003-01-14,7.01,645.6,12.02,15.46,15.28,19.75,5.775,9.78,9.96,19.42,9.16,1.0033,13.2,4.59,769.0,10.4
2003-01-15,7.1,648.0,12.08,15.33,15.23,19.6,5.9,9.77,9.99,19.48,9.07,0.9944,13.15,4.58,775.0,10.31
2003-01-16,7.13,639.0,12.01,15.2,15.32,19.69,5.805,9.74,10.09,19.21,9.15,0.9756,13.33,4.53,785.0,10.26
2003-01-17,7.13,624.6,11.84,14.9,15.15,19.36,5.705,9.78,9.95,18.5,8.8,0.95,13.15,4.54,760.0,10.01
2003-01-21,7.13,611.4,11.45,14.64,14.85,19.26,5.65,9.63,10.02,18.61,8.73,0.8989,12.67,4.46,746.0,10.1
2003-01-22,7.1,598.2,11.42,14.3,14.5,18.91,5.505,9.6,9.71,18.6,8.91,0.8789,12.4,4.49,761.0,10.09
2003-01-23,7.23,606.0,11.45,14.3,14.48,19.35,5.525,9.58,9.84,18.62,9.3,0.8822,12.54,4.51,769.0,9.95
2003-01-24,7.17,598.8,11.39,14.35,14.3,19.11,5.51,9.53,10.0,18.2,9.3,0.84,12.43,4.41,741.0,9.91
2003-01-27,7.0,573.0,11.05,13.9,14.11,18.3,5.465,9.67,9.77,17.8,8.71,0.7789,11.85,4.38,730.0,9.61
2003-01-28,6.96,570.0,11.05,13.79,14.15,18.22,5.365,9.36,9.73,17.61,9.04,0.8056,12.09,4.4,749.0,9.5
2003-01-29,6.91,574.2,11.05,13.8,14.2,18.37,5.375,9.42,9.55,17.5,9.03,0.8133,11.7,4.3,745.0,9.5
