,SPY,QQQ,IWM,IJH,VTI,VUG,EFA,EEM,VEA,VWO,XLF,XLK,XLE,XLI,XLY,XLP,XLV,XLU,XLB,XLRE,XLC,SMH,XBI,KRE,XRT,IYT,TLT,IEF,SHY,LQD,HYG,TIP,MUB,AGG,EMB,UUP,FXE,FXY,VNQ,DBC
2003-01-02,91.3,25.55,78.05,88.42,85.05,,101.3899,,,,22.8101,15.6,22.83,21.26,23.98,20.35,27.32,19.65,20.37,,,22.0307,,,,,87.9,85.74,82.18,108.97,,,,,,,,,,
2003-01-03,91.38,25.71,78.1094,88.35,85.28,,101.6899,,,,22.9,15.7,22.9,21.25,23.82,20.42,27.61,20.0,20.32,,,22.4746,,,,,86.54,84.93,82.01,107.94,,,,,,,,,,
2003-01-06,93.49,26.59,79.22,89.74,87.05,,102.9699,,,,23.6,16.46,23.07,21.56,23.92,20.46,27.9,20.7,20.77,,,23.7232,,,,,86.29,84.8,81.98,107.89,,,,,,,,,,
2003-01-07,93.37,26.93,78.9,89.39,86.88,,101.3399,,,,23.5801,16.67,22.75,21.44,24.0,20.41,27.84,20.7,20.74,,,24.1394,,,,,86.75,85.04,82.06,108.42,,,,,,,,,,
2003-01-08,92.4,26.97,78.03,88.28,85.9,,100.0399,,,,23.33,16.35,22.2,21.22,23.91,20.37,27.55,20.5,20.5,,,23.307,,,,,87.14,85.3,82.14,108.75,,,,,,,,,,
2003-01-09,93.18,26.98,79.06,88.8,86.68,,100.8399,,,,23.56,16.59,22.39,21.29,24.28,20.42,27.65,20.52,20.41,,,23.6585,,,,,86.17,84.62,82.04,108.0,,,,,,,,,,
2003-01-10,93.64,27.26,79.25,89.24,87.0,,101.1999,,,,23.68,16.7,22.35,21.36,24.45,20.45,27.58,20.4,20.6,,,23.9545,,,,,85.92,84.61,82.06,108.2,,,,,,,,,,
2003-01-13,93.86,27.47,79.63,89.53,87.45,,101.6699,,,,23.9999,16.9,22.17,21.3,24.62,20.54,27.67,20.55,20.72,,,24.4539,,,,,85.87,84.46,82.06,108.25,,,,,,,,,,
2003-01-14,93.83,27.32,79.45,88.69,86.95,,101.7399,,,,23.7501,16.73,22.19,21.25,24.39,20.52,27.55,19.95,20.58,,,23.9822,,,,,86.28,84.69,82.11,108.7,,,,,,,,,,
2003-01-15,93.57,27.353,79.4,88.39,86.75,,101.0799,,,,23.8,16.78,22.26,21.35,24.28,20.48,27.5,19.95,20.47,,,23.6307,,,,,86.7,85.04,82.17,108.25,,,,,,,,,,
2003-01-16,92.93,26.98,79.5,89.1,86.6,,101.1399,,,,23.54,16.45,22.53,21.15,24.24,20.65,27.43,20.08,20.48,,,23.0111,,,,,86.6,84.8,82.14,108.04,,,,,,,,,,
2003-01-17,92.3,25.94,78.97,87.5,85.13,,100.4999,,,,23.2801,15.64,22.42,20.82,23.95,20.68,27.24,19.99,20.42,,,21.6422,,,,,87.24,85.22,82.22,108.3,,,,,,,,,,
2003-01-21,90.92,25.55,77.54,86.74,84.85,,99.0999,,,,23.26,15.4,21.97,20.8,23.72,20.68,27.2,19.9,20.22,,,21.3463,,,,,87.45,85.4,82.23,108.38,,,,,,,,,,
2003-01-22,89.8,25.53,76.35,85.49,84.57,,97.6899,,,,22.7,15.38,21.82,20.15,23.2,20.47,27.08,19.4,19.83,,,21.2261,,,,,87.9,85.75,82.28,108.65,,,,,,,,,,
2003-01-23,89.38,25.84,76.54,85.74,83.34,,98.4999,,,,22.72,15.4,21.77,20.17,23.29,20.22,26.96,19.59,19.9,,,21.6422,,,,,87.7,85.71,82.27,108.75,,,,,,,,,,
2003-01-24,88.68,25.5313,76.0,85.04,82.75,,97.6499,,,,22.46,15.23,21.72,19.95,23.2,20.0,26.83,19.39,19.83,,,21.3185,,,,,88.44,86.03,82.3,109.36,,,,,,,,,,
2003-01-27,86.8,25.03,74.61,83.62,80.92,,95.0499,,,,21.94,14.83,21.16,19.6,22.68,19.55,25.95,19.04,19.19,,,20.7914,,,,,88.04,85.69,82.27,109.05,,,,,,,,,,
2003-01-28,86.4,25.05,74.45,83.22,80.72,,94.5299,,,,21.8299,14.83,21.09,19.65,22.6,19.45,26.19,18.83,19.03,,,20.7914,,,,,87.78,85.5,82.25,108.78,,,,,,,,,,
2003-01-29,87.18,25.45,74.8,83.85,81.46,,94.8499,,,,21.94,15.0,21.81,19.8,22.83,19.3,26.53,18.95,19.16,,,21.3,,,,,87.88,85.53,82.27,108.9,,,,,,,,,,
2003-01-30,86.88,25.42,74.81,83.83,81.1,,94.8899,,,,21.9,15.09,22.0,19.65,22.69,19.15,26.45,18.97,18.99,,,21.263,,,,,87.9,85.51,82.27,108.68,,,,,,,,,,
2003-01-31,86.21,24.76,74.24,83.73,80.6,,95.1799,,,,21.75,14.54,21.78,19.68,22.47,19.26,26.46,18.7,18.99,,,20.0977,,,,,88.21,85.62,82.28,108.85,,,,,,,,,,
2003-02-03,86.81,24.796,74.48,83.95,81.2,,96.3399,,,,21.93,14.7,22.0,19.77,22.66,19.38,26.63,18.84,19.03,,,20.2087,,,,,87.91,85.3,82.11,108.52,,,,,,,,,,
2003-02-04,85.75,24.3,74.0,82.75,81.0,,95.1899,,,,21.3,14.4,22.23,19.48,22.05,19.34,26.04,18.71,18.85,,,19.8572,,,,,88.4,85.42,82.18,108.8,,,,,,,,,,
2003-02-05,86.54,24.86,74.0,83.8,80.85,,96.4299,,,,21.6,14.74,22.29,19.76,22.37,19.48,26.45,18.69,19.11,,,20.5231,,,,,88.7,85.41,82.2,108.79,,,,,,,,,,
2003-02-06,84.89,24.35,73.22,82.74,79.5,,94.3599,,,,21.05,14.42,22.0,19.55,22.08,19.18,25.92,18.46,18.8,,,19.885,,,,,88.26,85.43,82.21,108.78,,,,,,,,,,
2003-02-07,84.99,24.45,73.2,82.25,79.4,,94.3499,,,,21.0599,14.42,22.0,19.45,22.2,19.21,26.05,18.3,18.74,,,19.6723,,,,,88.52,85.49,82.26,109.01,,,,,,,,,,
2003-02-10,84.13,24.25,72.12,81.25,78.55,,93.2199,,,,20.82,14.25,21.92,19.3,21.8,19.05,25.97,18.1,18.63,,,19.552,,,,,88.4,85.48,82.25,108.9,,,,,,,,,,
2003-02-11,84.88,24.61,72.45,81.96,79.1,,94.2399,,,,21.0199,14.4,22.14,19.37,22.07,19.16,26.18,18.19,18.67,,,19.8387,,,,,87.91,85.35,82.23,108.66,,,,,,,,,,
2003-02-12,83.62,24.33,71.88,81.16,78.07,,93.7199,,,,20.71,14.25,21.8,19.02,21.68,18.89,25.67,17.75,18.44,,,19.7832,,,,,88.13,85.69,82.3,108.94,,,,,,,,,,
2003-02-13,82.66,23.98,70.8906,79.55,77.05,,94.0399,,,,20.5,14.06,21.42,18.86,21.43,18.87,25.26,17.55,18.44,,,19.4595,,,,,89.18,86.26,82.38,109.25,,,,,,,,,,
2003-02-14,84.2,24.5,71.59,80.22,78.08,,95.1599,,,,20.88,14.44,21.58,19.01,21.82,19.05,25.4,17.58,18.57,,,20.3659,,,,,88.37,85.9,82.33,108.95,,,,,,,,,,
2003-02-18,85.8,25.34,72.75,81.85,79.87,,96.1999,,,,21.33,14.95,21.91,19.45,22.38,19.3,26.0,17.9,18.86,,,21.263,,,,,87.98,85.7,82.27,108.84,,,,,,,,,,
