,SPY,QQQ,IWM,IJH,VTI,VUG,EFA,EEM,VEA,VWO,XLF,XLK,XLE,XLI,XLY,XLP,XLV,XLU,XLB,XLRE,XLC,SMH,XBI,KRE,XRT,IYT,TLT,IEF,SHY,LQD,HYG,TIP,MUB,AGG,EMB,UUP,FXE,FXY,VNQ,DBC
2003-01-02,88.85,24.72,76.5,86.5,83.4,,99.8399,,,,22.05,14.9,22.45,20.83,23.33,20.01,26.75,19.38,20.04,,,20.9948,,,,,87.7,85.6,82.16,108.97,,,,,,,,,,
2003-01-03,90.91,25.46,78.0,88.25,85.05,,101.2999,,,,22.7,15.55,22.9,21.25,23.82,20.42,27.3,19.8,20.3,,,21.781,,,,,86.15,84.7,81.94,107.6,,,,,,,,,,
2003-01-06,91.24,25.71,77.77,88.02,85.6,,101.0999,,,,22.9,15.76,22.8,21.3,23.6,20.28,27.64,19.75,20.39,,,22.5671,,,,,86.17,84.8,81.95,107.75,,,,,,,,,,
2003-01-07,92.9,26.41,78.7,89.39,86.75,,100.8299,,,,23.5,16.42,22.75,21.4,23.85,20.35,27.8,20.5,20.74,,,23.1221,,,,,86.19,84.72,81.94,107.85,,,,,,,,,,
2003-01-08,92.2,26.39,77.9,88.22,85.82,,98.7999,,,,23.05,16.25,22.2,21.2,23.6,20.25,27.32,20.3,20.5,,,23.1683,,,,,86.88,85.17,82.1,108.6,,,,,,,,,,
2003-01-09,91.82,26.24,77.98,87.45,85.75,,99.4099,,,,23.0,16.29,22.2,21.0,23.7,20.23,27.3,20.48,20.19,,,23.1221,,,,,86.17,84.58,82.04,108.0,,,,,,,,,,
2003-01-10,91.95,26.35,77.83,87.93,86.15,,100.4299,,,,23.2,16.15,22.08,21.1,24.05,20.3,27.4,20.4,20.18,,,22.7151,,,,,85.92,84.56,82.06,108.2,,,,,,,,,,
2003-01-13,93.54,27.33,79.32,89.53,87.45,,101.3499,,,,23.7,16.85,22.17,21.3,24.4,20.35,27.67,20.55,20.7,,,24.1672,,,,,85.54,84.2,82.02,108.0,,,,,,,,,,
2003-01-14,92.69,26.91,78.9,88.23,86.45,,100.8999,,,,23.4501,16.49,22.19,21.25,24.35,20.38,27.31,19.95,20.41,,,23.307,,,,,86.0,84.6,82.1,108.7,,,,,,,,,,
2003-01-15,93.54,27.24,79.17,88.28,86.75,,101.0799,,,,23.8,16.75,22.08,21.35,24.2,20.48,27.5,19.88,20.47,,,23.6307,,,,,86.28,84.76,82.1,108.2,,,,,,,,,,
2003-01-16,92.5,26.79,79.0,88.25,86.15,,101.0999,,,,23.4,16.32,22.28,20.93,24.05,20.3,27.0,19.94,20.2,,,22.9833,,,,,86.38,84.66,82.09,108.0,,,,,,,,,,
2003-01-17,90.99,25.904,77.88,87.5,84.75,,100.3999,,,,23.03,15.55,22.31,20.5,23.8,20.5,26.97,19.85,20.22,,,21.6238,,,,,87.1,85.15,82.21,108.25,,,,,,,,,,
2003-01-21,90.87,25.41,77.4,86.36,84.85,,98.7999,,,,23.1,15.36,21.97,20.6,23.72,20.6,27.1,19.75,20.22,,,21.1336,,,,,86.88,84.93,82.16,108.0,,,,,,,,,,
2003-01-22,88.77,24.968,75.77,84.77,83.0,,96.8499,,,,22.55,15.1,21.49,19.95,23.1,20.37,26.85,19.37,19.74,,,20.7174,,,,,87.68,85.55,82.2,108.25,,,,,,,,,,
2003-01-23,88.75,25.4,75.95,85.1,83.15,,98.4999,,,,22.5,15.4,21.63,20.0,22.9,20.1,26.9,19.25,19.61,,,21.3648,,,,,87.32,85.43,82.2,108.3,,,,,,,,,,
