,SPY,QQQ,IWM,IJH,VTI,VUG,EFA,EEM,VEA,VWO,XLF,XLK,XLE,XLI,XLY,XLP,XLV,XLU,XLB,XLRE,XLC,SMH,XBI,KRE,XRT,IYT,TLT,IEF,SHY,LQD,HYG,TIP,MUB,AGG,EMB,UUP,FXE,FXY,VNQ,DBC
2003-01-02,44516300,66280297,4014200,304000,442000,,860701,,,,882750,4144400,151400,320600,162200,365000,102000,1050000,633800,,,12370000,,,,,192100,106700,323800,66700,,,,,,,,,,
2003-01-03,32222600,39091301,3222200,572000,769000,,663001,,,,683451,3162400,86200,70700,454600,364100,71100,1241800,125000,,,12479000,,,,,311200,518400,55100,23800,,,,,,,,,,
2003-01-06,40984500,67341102,2919200,905000,554600,,1602602,,,,1277163,2575600,237600,76900,546800,76100,55500,4366200,597000,,,11885800,,,,,35600,214500,133000,623000,,,,,,,,,,
2003-01-07,38640400,88761797,3013800,799000,506800,,6725407,,,,740200,3594400,900400,62500,62000,46100,136200,2822200,617000,,,16541800,,,,,69800,101700,99900,45100,,,,,,,,,,
2003-01-08,38702200,75068508,3288400,261000,201800,,709201,,,,489569,3033600,1420800,41800,106200,36000,63100,3236800,318400,,,12762200,,,,,160100,162600,85000,107600,,,,,,,,,,
2003-01-09,34804900,75407602,3828600,246000,175200,,2422503,,,,829202,1743600,1232600,177500,98800,50800,623400,1329400,130400,,,12201800,,,,,237500,98000,120500,55600,,,,,,,,,,
2003-01-10,37768900,82627797,2698000,334000,235800,,675901,,,,728137,1583800,431200,99400,55400,37300,544300,1121000,74000,,,19328200,,,,,145200,235800,43700,82100,,,,,,,,,,
2003-01-13,31649900,72931203,1759000,443000,187600,,1176901,,,,2054170,2677400,993600,101900,94800,96500,61400,1595200,311400,,,10354400,,,,,53300,219700,71500,53300,,,,,,,,,,
2003-01-14,30733000,47233898,1566400,1254000,86000,,1388701,,,,1443348,1894800,134200,357900,92000,81700,26400,1967600,146800,,,11248800,,,,,98900,204500,40700,239200,,,,,,,,,,
2003-01-15,33511800,55430000,2381600,285000,1076400,,499201,,,,4898518,1816000,1504600,88000,22200,86000,154300,811200,53600,,,12839600,,,,,129600,239000,199300,111500,,,,,,,,,,
2003-01-16,44812100,69071305,2323000,436000,153600,,717301,,,,803597,2590400,1024200,143400,195200,107100,85000,1459200,117600,,,12535600,,,,,57900,205700,31300,185900,,,,,,,,,,
2003-01-17,35618300,77424102,2416600,207000,156600,,805501,,,,530930,5678600,355200,33300,364200,16000,56400,1060000,148800,,,11761600,,,,,97700,60100,40300,1489000,,,,,,,,,,
2003-01-21,36826200,67998508,2134600,500000,209600,,1443902,,,,2112519,2873800,418800,67100,54800,65900,103000,813000,185000,,,9794200,,,,,107500,82600,92800,37600,,,,,,,,,,
2003-01-22,42286500,80616797,3337600,514000,143600,,1064401,,,,2385555,2727800,332200,105300,161000,56100,173100,1652000,88400,,,16639400,,,,,107100,120500,48100,39300,,,,,,,,,,
2003-01-23,55919800,78646203,2213000,968000,179800,,821401,,,,1340313,1054800,391000,134400,26200,111700,138200,830400,51200,,,15328800,,,,,110700,78300,49700,200300,,,,,,,,,,
2003-01-24,68633900,74558508,3565000,659000,402800,,541201,,,,3860293,2671800,469400,65000,391600,67100,165500,1075800,327400,,,12291200,,,,,285300,209400,134500,1025300,,,,,,,,,,
2003-01-27,57884400,76581906,3477400,446000,451000,,1155301,,,,2973234,3370400,1924400,76600,76600,441700,69500,777200,416000,,,11611600,,,,,150500,413800,333200,819100,,,,,,,,,,
2003-01-28,46929100,65269898,2633200,331000,641600,,1166701,,,,4353185,1193200,557200,218800,128200,76100,39200,1289800,151200,,,10306200,,,,,454700,1596500,1039400,691100,,,,,,,,,,
2003-01-29,53712200,95785398,4012400,641000,244800,,1705502,,,,851729,1993400,696600,28000,113600,114500,35300,959000,304600,,,22508600,,,,,221400,83200,27400,38100,,,,,,,,,,
