,EWJ,EWG,EWU,EWQ,EWI,EWP,EWL,EWA,EWC,EWY,EWT,EWZ,EWW,EWS,EWH,EWD,GLD,SLV,USO,UNG,DBA,DBB,CPER,CORN,WEAT,SOYB,PALL,PPLT
2003-01-02,7.1,628.8,12.3,15.34,15.1,17.96,5.625,9.3,9.7,18.99,8.29,0.9211,13.29,4.39,756.0,10.04,,,,,,,,,,,,
2003-01-03,7.09,640.8,12.35,15.2,15.25,,5.795,9.34,9.72,19.74,8.59,0.9422,13.13,4.39,764.0,10.29,,,,,,,,,,,,
2003-01-06,7.23,657.6,12.44,15.61,15.54,18.59,5.87,9.66,9.98,20.19,8.69,0.9833,13.34,4.39,764.0,10.38,,,,,,,,,,,,
2003-01-07,7.05,647.4,12.24,15.32,15.25,18.84,5.845,9.65,9.99,19.63,8.69,0.9722,13.3,4.33,764.0,10.33,,,,,,,,,,,,
2003-01-08,6.91,628.8,12.09,15.0,15.2,19.0,5.78,9.57,9.95,19.35,8.88,0.9667,13.3,4.33,759.0,10.04,,,,,,,,,,,,
2003-01-09,7.0,634.8,12.17,15.34,15.42,19.14,5.82,9.65,9.92,19.15,8.97,0.9733,13.29,4.4,772.0,10.19,,,,,,,,,,,,
2003-01-10,6.98,639.0,12.34,15.35,15.4,19.23,5.855,9.76,9.99,18.84,8.98,0.9989,13.3,4.42,774.0,10.34,,,,,,,,,,,,
2003-01-13,6.98,649.8,12.25,15.45,15.48,19.69,5.915,9.74,10.09,19.59,9.33,1.0044,13.29,4.59,774.0,10.39,,,,,,,,,,,,
2003-01-14,7.08,648.6,12.23,15.46,15.3,19.79,6.025,9.79,10.05,19.73,9.43,1.0033,13.25,4.59,774.0,10.48,,,,,,,,,,,,
2003-01-15,7.12,650.4,12.08,15.33,15.23,19.6,5.97,9.77,10.01,19.49,9.24,0.9944,13.33,4.58,784.0,10.31,,,,,,,,,,,,
2003-01-16,7.18,640.8,12.15,15.2,15.41,19.75,5.815,9.75,10.09,19.49,9.19,0.9933,13.34,4.56,787.0,10.31,,,,,,,,,,,,
2003-01-17,7.17,626.4,11.99,14.9,15.2,19.36,5.795,9.78,9.99,18.85,8.97,0.95,13.15,4.54,767.0,10.01,,,,,,,,,,,,
2003-01-21,7.17,615.0,11.67,14.7,14.96,19.26,5.72,9.73,10.05,18.9,8.99,0.9122,12.84,4.51,757.0,10.23,,,,,,,,,,,,
2003-01-22,7.13,600.0,11.46,14.3,14.55,19.03,5.51,9.61,10.0,18.75,9.15,0.8878,12.4,4.49,762.0,10.09,,,,,,,,,,,,
2003-01-23,7.27,615.6,11.55,14.44,14.58,19.35,5.59,9.71,9.97,19.01,9.37,0.8822,12.54,4.51,769.0,9.95,,,,,,,,,,,,
2003-01-24,7.22,598.8,11.44,14.42,14.49,19.14,5.59,9.74,10.1,18.21,9.3,0.8444,12.43,4.52,759.0,10.03,,,,,,,,,,,,
2003-01-27,7.06,589.2,11.22,13.9,14.11,18.6,5.465,9.69,9.9,17.8,9.09,0.8089,12.05,4.38,752.0,9.77,,,,,,,,,,,,
2003-01-28,7.04,583.2,11.16,13.79,14.2,18.55,5.365,9.49,9.79,18.24,9.1,0.8144,12.09,4.4,751.0,9.72,,,,,,,,,,,,
2003-01-29,6.92,592.8,11.28,14.0,14.35,18.37,5.375,9.45,9.84,17.78,9.03,0.8567,11.88,4.4,750.0,9.5,,,,,,,,,,,,
2003-01-30,6.84,585.6,11.37,14.15,14.47,18.15,5.475,9.43,9.83,18.04,9.19,0.8567,11.86,4.33,755.0,9.57,,,,,,,,,,,,
2003-01-31,6.77,592.8,11.7,14.3,14.63,18.25,5.445,9.45,9.84,17.63,8.94,0.8778,11.94,4.22,750.0,9.48,,,,,,,,,,,,
2003-02-03,6.88,594.0,11.74,14.6,14.88,18.44,5.435,9.3,9.86,18.07,9.0,0.8811,12.14,4.27,755.0,9.64,,,,,,,,,,,,
2003-02-04,6.87,580.2,11.55,14.3,14.6,18.39,5.45,9.42,9.85,17.89,9.0,0.86,11.99,4.26,748.0,9.44,,,,,,,,,,,,
