,EWJ,EWG,EWU,EWQ,EWI,EWP,EWL,EWA,EWC,EWY,EWT,EWZ,EWW,EWS,EWH,EWD,GLD,SLV,USO,UNG,DBA,DBB,CPER,CORN,WEAT,SOYB,PALL,PPLT
2003-01-02,382250,140600,33550,9800,200.0,200.0,15900,13200.0,12700,32900,19750,135700,36800,10100,53700,7600.0,,,,,,,,,,,,
2003-01-03,90100,14600,26450,3300,350.0,,7200,7100.0,1300,290800,13950,322300,98300,12950,18200,200.0,,,,,,,,,,,,
2003-01-06,653725,126400,55200,4400,34650.0,30100.0,2100,36000.0,1537200,40300,8700,166800,53300,7100,78900,4100.0,,,,,,,,,,,,
2003-01-07,222675,25000,14400,3100,14650.0,800.0,12900,59600.0,1524700,81300,46500,33700,18600,9500,39000,5000.0,,,,,,,,,,,,
2003-01-08,227075,38700,63050,5200,3600.0,4400.0,3000,6100.0,765500,65300,25150,44700,9100,17700,8400,1200.0,,,,,,,,,,,,
2003-01-09,407250,56400,23800,26700,8250.0,500.0,6600,7700.0,1065300,73200,116400,216700,221700,11850,79900,2500.0,,,,,,,,,,,,
2003-01-10,236300,47900,8550,3600,1650.0,800.0,16400,81300.0,11500,94600,71600,98400,12000,85000,68700,300.0,,,,,,,,,,,,
2003-01-13,250300,26400,3350,2900,4150.0,1400.0,6300,4100.0,15700,65500,19150,203800,151600,16800,16000,2500.0,,,,,,,,,,,,
2003-01-14,417650,28200,9300,400,1900.0,1100.0,25900,23700.0,4300,22700,29450,21300,9900,12250,24500,4400.0,,,,,,,,,,,,
2003-01-15,356650,43800,21900,5900,50.0,1300.0,15800,15000.0,21700,157600,17000,43800,118500,7650,26200,4800.0,,,,,,,,,,,,
2003-01-16,267500,22100,43750,5700,2200.0,800.0,16600,30800.0,2078900,38300,13250,30700,78200,13750,124600,4700.0,,,,,,,,,,,,
2003-01-17,162250,14000,8100,700,950.0,200.0,7400,5900.0,38100,459200,63200,349700,42500,2950,24600,200.0,,,,,,,,,,,,
2003-01-21,211775,30300,21450,12200,2500.0,13800.0,5300,30600.0,29700,63800,40800,179400,115700,14900,10800,5400.0,,,,,,,,,,,,
2003-01-22,223850,31600,31250,6500,3100.0,2600.0,5300,28200.0,65500,173600,67250,293000,106000,14050,25200,3600.0,,,,,,,,,,,,
2003-01-23,1100325,80600,99300,19500,3700.0,2400.0,11100,9100.0,40400,85600,111900,283000,111800,28700,33200,2100.0,,,,,,,,,,,,
2003-01-24,420125,28500,137050,4100,800.0,3100.0,7500,91800.0,130500,259800,113550,101800,61200,10650,176700,900.0,,,,,,,,,,,,
2003-01-27,324725,66200,208350,6200,1850.0,7800.0,11800,129900.0,1912600,375700,210450,183600,108800,74550,239000,2200.0,,,,,,,,,,,,
2003-01-28,267800,70100,101550,6200,6300.0,7700.0,19300,30000.0,1076500,84900,21650,163300,30800,21400,128200,2900.0,,,,,,,,,,,,
2003-01-29,278025,63700,220600,32800,15100.0,5700.0,3700,13500.0,23800,177200,560050,225500,10500,6800,42800,2000.0,,,,,,,,,,,,
2003-01-30,195325,37400,230300,900,1200.0,5000.0,15400,41200.0,50800,267600,209650,74800,4200,19550,45600,2400.0,,,,,,,,,,,,
2003-01-31,278350,36200,4440450,1900,1500.0,400.0,3400,25300.0,32800,75100,37150,230700,206900,5400,25200,400.0,,,,,,,,,,,,
2003-02-03,237525,37000,962800,4900,6850.0,1800.0,11100,14500.0,40300,69400,16600,139600,24200,4600,26900,9100.0,,,,,,,,,,,,
2003-02-04,75750,49800,1090000,12400,600.0,4600.0,15400,28700.0,776300,5300,2100,38300,9300,10100,25700,4900.0,,,,,,,,,,,,
2003-02-05,201800,8100,498800,200,1550.0,,25800,3500.0,756300,152000,250,8000,2400,13250,36500,,,,,,,,,,,,,
2003-02-06,239350,84300,76050,17500,650.0,600.0,11000,10800.0,1130700,117400,79250,70300,44500,16400,17300,300.0,,,,,,,,,,,,
2003-02-07,99100,24300,167350,29400,250.0,1600.0,35400,11300.0,11400,19000,80900,11500,19700,5400,16800,10500.0,,,,,,,,,,,,
2003-02-10,53200,80400,207100,2000,900.0,2300.0,3200,16600.0,7300,59600,74400,123700,155400,55150,8900,7000.0,,,,,,,,,,,,
2003-02-11,135750,30900,85450,12000,2950.0,3800.0,10900,20400.0,4600,101800,89300,104100,565400,8950,28700,1500.0,,,,,,,,,,,,
2003-02-12,123700,13400,220050,10500,2200.0,1100.0,12100,8300.0,5200,115800,35400,16100,59000,28500,32400,700.0,,,,,,,,,,,,
2003-02-13,52050,32100,60150,2700,200.0,500.0,900,26800.0,10200,150200,83800,63100,70300,60450,26700,100.0,,,,,,,,,,,,
2003-02-14,226375,1386700,664500,22700,361700.0,1905300.0,7300,13500.0,1500,10100,83600,5300,6300,8200,43500,1479200.0,,,,,,,,,,,,
2003-02-18,787925,143000,667900,3400,,35700.0,14600,922600.0,572200,37300,102500,26600,194300,7250,180800,2900.0,,,,,,,,,,,,
2003-02-19,448625,46500,59600,14600,13100.0,20900.0,31300,596700.0,502000,67600,36000,90000,109200,1800,117100,3800.0,,,,,,,,,,,,
2003-02-20,94425,31700,28950,2200,7250.0,11300.0,11200,281900.0,18300,6500,219050,30000,9400,2400,21400,2400.0,,,,,,,,,,,,
2003-02-21,155800,9000,514200,900,1350.0,1800.0,9600,284200.0,14000,33800,26900,2200,7800,8200,26400,3500.0,,,,,,,,,,,,
2003-02-24,540775,27100,85250,50100,100.0,9600.0,4500,25500.0,157800,47100,183450,33900,13700,5800,7100,800.0,,,,,,,,,,,,
2003-02-25,250050,76000,363550,14900,4000.0,400.0,11200,43700.0,43600,92800,203700,196100,317400,25150,40100,4500.0,,,,,,,,,,,,
2003-02-26,213850,48400,745500,22600,1000.0,500.0,3500,5900.0,1346100,21800,58000,37000,36500,2700,2500,200.0,,,,,,,,,,,,
2003-02-27,245850,28100,232700,133400,3300.0,5100.0,8900,4200.0,261900,51400,61200,13600,94600,4900,93600,4900.0,,,,,,,,,,,,
2003-02-28,115950,230800,154350,70200,27300.0,53600.0,6300,2200.0,30800,61400,84750,37700,111700,6250,11100,14500.0,,,,,,,,,,,,
2003-03-03,88925,40100,7100,36000,7650.0,1400.0,7300,6900.0,80700,35800,33500,19900,72300,2100,10200,500.0,,,,,,,,,,,,
2003-03-04,289550,7000,81200,10100,8600.0,600.0,3100,20800.0,129700,120500,28600,54200,39000,5300,9400,1300.0,,,,,,,,,,,,
2003-03-05,297825,12400,94950,9200,3300.0,400.0,5900,45900.0,20900,84800,155750,48200,10500,19350,11600,700.0,,,,,,,,,,,,
2003-03-06,89850,50200,24750,8600,3500.0,1000.0,5300,84300.0,272400,150000,259050,119900,33600,26050,114800,100.0,,,,,,,,,,,,
2003-03-07,285825,41900,18150,9400,3500.0,100.0,8200,58600.0,53700,34700,70250,61600,30100,4900,11400,600.0,,,,,,,,,,,,
2003-03-10,407650,55200,103500,19600,5050.0,1800.0,52000,33600.0,62300,41500,11800,11200,16800,2850,17000,400.0,,,,,,,,,,,,
2003-03-11,464075,152400,7150,5100,1200.0,9400.0,2200,16300.0,45100,54600,73750,36300,31600,10500,5800,1100.0,,,,,,,,,,,,
2003-03-12,338150,793500,49450,24700,1300.0,8100.0,49000,37900.0,36700,83600,57950,58500,12900,5350,36400,21300.0,,,,,,,,,,,,
2003-03-13,1135150,230900,137700,70100,3100.0,1900.0,7800,26100.0,4500,37600,117850,147100,49200,6300,56900,500.0,,,,,,,,,,,,
2003-03-14,382425,234700,125350,389400,1600.0,20200.0,25000,18700.0,9700,37800,81200,144900,12600,3250,101600,200.0,,,,,,,,,,,,
2003-03-17,1631925,698400,135450,102600,3900.0,34500.0,8500,22100.0,36800,78600,225000,402100,60900,10950,107400,18600.0,,,,,,,,,,,,
2003-03-18,692000,280300,86600,62300,700.0,3400.0,6600,25700.0,112500,34400,153800,121500,11800,37100,161500,300.0,,,,,,,,,,,,
2003-03-19,539775,136900,53000,31000,2750.0,5800.0,2300,14400.0,14400,146700,85100,76100,159600,9600,24200,2300.0,,,,,,,,,,,,
2003-03-20,786025,100800,48600,12900,300.0,13100.0,20000,25700.0,897400,70400,67600,75700,116300,11700,61000,13400.0,,,,,,,,,,,,
2003-03-21,1162800,164800,169550,34600,15950.0,8800.0,15100,11000.0,34000,66900,35300,593100,46000,10650,27700,9700.0,,,,,,,,,,,,
2003-03-24,429625,199200,94050,35300,700.0,14700.0,30200,15300.0,41800,94300,32700,160700,5000,69350,296400,2500.0,,,,,,,,,,,,
2003-03-25,431950,179600,77950,1400,3450.0,31100.0,9500,31000.0,46300,48100,418450,285500,11500,20200,59900,2100.0,,,,,,,,,,,,
2003-03-26,286450,59600,2650,15000,50.0,2600.0,4600,500.0,317400,29400,104200,47800,33000,2400,60000,600.0,,,,,,,,,,,,
2003-03-27,290700,104100,48850,7300,200.0,19000.0,1600,9400.0,3600,19700,8650,11900,19600,104300,39400,10000.0,,,,,,,,,,,,
2003-03-28,92125,84100,702750,21800,400.0,702000.0,14600,36100.0,30300,23400,38050,285800,18100,3400,42300,1800.0,,,,,,,,,,,,
2003-03-31,410075,149400,2490700,6100,950.0,37800.0,4600,34700.0,26500,61000,38800,36200,28700,36250,167400,800.0,,,,,,,,,,,,
2003-04-01,477350,47600,751050,17100,350.0,300.0,11000,16200.0,3200,31500,73100,98100,27000,24850,126200,400.0,,,,,,,,,,,,
2003-04-02,242950,23700,58650,8000,100.0,5100.0,5000,8500.0,63100,336300,109150,388200,132700,2750,162400,4900.0,,,,,,,,,,,,
2003-04-03,435725,75900,73200,13100,1600.0,13600.0,500,2200.0,87100,338100,184150,484500,298600,308350,372900,300.0,,,,,,,,,,,,
2003-04-04,57075,55100,50600,2400,,700.0,400,25900.0,27400,43300,36100,76500,10400,8850,95900,9600.0,,,,,,,,,,,,
2003-04-07,470150,227600,165850,32500,8350.0,22900.0,42200,61300.0,13200,117000,91050,167500,106000,4700,187200,4100.0,,,,,,,,,,,,
2003-04-08,175650,172300,1140900,7200,6350.0,200.0,2300,10700.0,15800,98800,4650,144300,2600,2650,117800,5300.0,,,,,,,,,,,,
2003-04-09,103250,662000,118000,11500,274700.0,789700.0,45600,,4900,56500,43000,242800,10100,87750,120600,1016500.0,,,,,,,,,,,,
2003-04-10,283475,28700,79100,51900,350.0,4400.0,7100,18700.0,1271700,96300,71350,15400,8900,22550,169500,100.0,,,,,,,,,,,,
2003-04-11,504700,95600,189650,65900,11050.0,4000.0,72500,5600.0,683000,199700,74100,83000,32500,95000,60200,5700.0,,,,,,,,,,,,
2003-04-14,454775,108500,47750,7000,1050.0,5100.0,11100,22800.0,35900,37600,35350,242500,6000,9500,119500,100.0,,,,,,,,,,,,
2003-04-15,277575,121500,315100,17600,10600.0,27000.0,33900,18800.0,87000,268100,11350,296500,24800,8150,151300,500.0,,,,,,,,,,,,
2003-04-16,307400,159800,73350,2500,6400.0,4000.0,1300,12500.0,97000,36000,44900,260800,5000,4450,108300,1200.0,,,,,,,,,,,,
2003-04-17,613425,151700,161050,4000,7700.0,30400.0,3800,17900.0,31900,83200,39000,93900,600,850,42500,500.0,,,,,,,,,,,,
2003-04-21,99175,50700,9400,1600,3050.0,7100.0,2300,32500.0,4015200,12800,13200,71100,6200,13850,476200,900.0,,,,,,,,,,,,
2003-04-22,488800,75100,92100,57400,12750.0,43200.0,5400,10500.0,84900,50500,29000,70600,23000,38750,417900,400.0,,,,,,,,,,,,
2003-04-23,260575,144900,22250,14400,4550.0,5200.0,3800,10400.0,41000,23000,33050,71600,8700,14450,1087900,300.0,,,,,,,,,,,,
2003-04-24,403175,102200,14400,27400,2000.0,3200.0,4700,40200.0,31800,133300,180950,82400,235400,25750,431500,1000.0,,,,,,,,,,,,
2003-04-25,517025,46000,16550,5000,600.0,2700.0,57800,13500.0,76800,184900,46300,26200,17300,6950,855300,400.0,,,,,,,,,,,,
2003-04-28,634550,122500,46800,18300,1450.0,7700.0,5300,51900.0,52100,869100,80150,325100,10700,15200,911700,600.0,,,,,,,,,,,,
2003-04-29,584900,242400,169000,2300,5050.0,2600.0,1700,36700.0,61700,596500,460300,804200,211300,169900,1241900,4100.0,,,,,,,,,,,,
2003-04-30,559825,153500,108200,2400,500.0,4200.0,8000,6300.0,612200,67100,51000,107600,44900,4400,594800,3500.0,,,,,,,,,,,,
2003-05-01,296325,70300,10450,6000,32100.0,8700.0,1200,22900.0,38000,61600,73350,103600,31200,6100,723700,6200.0,,,,,,,,,,,,
2003-05-02,726825,217400,62050,10200,2250.0,13600.0,5000,51300.0,52800,56200,411100,120300,24000,49650,803600,3700.0,,,,,,,,,,,,
2003-05-05,520550,117900,96900,26700,1500.0,6400.0,21600,52500.0,56000,70500,71250,212800,43700,23350,551000,17700.0,,,,,,,,,,,,
