z_threshold,theta,tau_cap,sharpe,total_return,n_events,is_primary
3.0,0.15,15,-0.2661211088354124,-0.654738427178449,982,False
3.0,0.15,20,-0.2254868621209657,-0.5921296326371541,914,False
3.0,0.15,25,-0.2474046711638753,-0.6533400091215055,841,False
3.0,0.25,15,-0.45153787858415995,-1.0118366839635595,1015,False
3.0,0.25,20,-0.28399643433355487,-0.714455136516846,965,False
3.0,0.25,25,-0.2964158909495056,-0.7432623153686392,915,False
3.0,0.35,15,-0.3719960173435264,-0.7964231655771621,1101,False
3.0,0.35,20,-0.3568812278290653,-0.7795070147808199,1074,False
3.0,0.35,25,-0.33633800491531796,-0.7554044432542222,1027,False
4.0,0.15,15,-0.22249644669614418,-0.4981002767264594,779,False
4.0,0.15,20,-0.23860840898682947,-0.5711367626937013,724,False
4.0,0.15,25,-0.2541176575124601,-0.6525225229047612,689,False
4.0,0.25,15,-0.3177183402021072,-0.6727093595702637,796,False
4.0,0.25,20,-0.24013346397610755,-0.5508473036549237,777,True
4.0,0.25,25,-0.22011193481565988,-0.528830382976885,750,False
4.0,0.35,15,-0.3985598461802102,-0.7815053624648339,852,False
4.0,0.35,20,-0.3276497443049685,-0.6586608174674903,840,False
4.0,0.35,25,-0.40573212637737044,-0.82300993334182,825,False
5.0,0.15,15,-0.3972734689730628,-0.7413222644920554,573,False
5.0,0.15,20,-0.30048086632308335,-0.5962849855548754,540,False
5.0,0.15,25,-0.27461764259352395,-0.5735362086147267,523,False
5.0,0.25,15,-0.4524799358467532,-0.8416274175977363,589,False
5.0,0.25,20,-0.31416668907347045,-0.6105744513870985,570,False
5.0,0.25,25,-0.33877904779802026,-0.6689013633352975,551,False
5.0,0.35,15,-0.41369716296913456,-0.7067428564060867,618,False
5.0,0.35,20,-0.3513219509682428,-0.614585736068565,611,False
5.0,0.35,25,-0.4101311090162071,-0.7325114206671166,599,False
