date,SPY,QQQ,IWM,IJH,VTI,VUG,EFA,EEM,VEA,VWO,XLF,XLK,XLE,XLI,XLY,XLP,XLV,XLU,XLB,XLRE,XLC,SMH,XBI,KRE,XRT,IYT,TLT,IEF,SHY,LQD,HYG,TIP,MUB,AGG,EMB,UUP,FXE,FXY,VNQ,DBC
2003-01-02,59.3267,21.4313,28.6663,6.3896,28.0052,,17.5629,,,,11.566,5.8132,6.0387,13.6706,9.0762,11.2369,18.5127,4.3612,6.0881,,,5.8646,,,,,38.5265,43.5474,52.0438,40.1268,,,,,,,,,,
2003-01-03,59.5091,21.6675,28.6185,6.3585,27.9887,,17.5803,,,,11.5559,5.8356,6.0281,13.7159,8.868,11.2258,18.7028,4.4057,6.0552,,,5.9461,,,,,38.6158,43.6193,52.0502,40.3549,,,,,,,,,,
2003-01-06,60.5579,22.2075,28.9533,6.4604,28.5949,,17.7974,,,,11.9465,6.0927,6.0784,13.8389,9.0308,11.3088,18.9065,4.6038,6.1718,,,6.2552,,,,,38.5131,43.5114,52.0184,40.3362,,,,,,,,,,
2003-01-07,60.4081,22.486,28.8025,6.404,28.3873,,17.5195,,,,11.8146,6.156,5.8798,13.7612,8.9816,11.2092,18.6349,4.5036,6.1509,,,6.2577,,,,,38.6515,43.6501,52.0565,40.4894,,,,,,,,,,
2003-01-08,59.5351,21.8532,28.5154,6.3108,28.0315,,17.2815,,,,11.6928,5.9548,5.8241,13.5929,8.8983,11.1429,18.4924,4.5348,5.9924,,,6.0426,,,,,38.8435,43.7528,52.1009,40.5306,,,,,,,,,,
2003-01-09,60.4602,22.5282,28.9349,6.3983,28.4664,,17.4934,,,,11.9262,6.13,5.8983,13.7677,9.1443,11.2535,18.6824,4.5125,6.0851,,,6.1612,,,,,38.0978,43.2238,52.0057,40.2053,,,,,,,,,,
2003-01-10,60.623,22.8657,28.9975,6.4134,28.5455,,17.4708,,,,11.9211,6.1635,5.8506,13.7418,9.167,11.2866,18.6757,4.5125,6.1509,,,6.3145,,,,,38.196,43.27,52.0755,40.31,,,,,,,,,,
2003-01-13,60.6035,22.7307,29.0637,6.3954,28.5191,,17.5073,,,,11.9566,6.13,5.8294,13.7159,9.2124,11.3143,18.6892,4.4168,6.124,,,6.2428,,,,,38.2586,43.3471,52.0628,40.2651,,,,,,,,,,
2003-01-14,60.7989,22.8488,29.0821,6.365,28.6476,,17.6411,,,,12.0479,6.2157,5.8533,13.7418,9.2238,11.3475,18.6757,4.4257,6.1539,,,6.2923,,,,,38.3925,43.4498,52.0819,40.3773,,,,,,,,,,
2003-01-15,60.1931,22.5619,29.0159,6.3592,28.3676,,17.4726,,,,11.8703,6.0927,5.8718,13.5476,9.114,11.2369,18.4652,4.4124,6.0522,,,6.1266,,,,,38.5801,43.5474,52.1009,40.3773,,,,,,,,,,
2003-01-16,59.9455,22.3088,28.9754,6.352,28.2852,,17.5455,,,,11.7537,5.9623,5.9301,13.4699,9.08,11.4028,18.4109,4.4057,6.0851,,,5.9486,,,,,38.6336,43.532,52.1327,40.2838,,,,,,,,,,
2003-01-17,59.0596,21.3553,28.4308,6.2537,27.8734,,17.3614,,,,11.7182,5.6716,5.8851,13.3728,8.9891,11.3364,18.3973,4.3857,6.0373,,,5.6321,,,,,38.8256,43.7117,52.12,40.4707,,,,,,,,,,
2003-01-21,58.1411,21.1191,28.0187,6.1619,27.3956,,17.0557,,,,11.5254,5.6343,5.7473,13.0427,8.7355,11.2535,18.2615,4.2945,5.9057,,,5.5728,,,,,39.0489,43.8607,52.1834,40.4969,,,,,,,,,,
