date,SPY,QQQ,IWM,IJH,VTI,VUG,EFA,EEM,VEA,VWO,XLF,XLK,XLE,XLI,XLY,XLP,XLV,XLU,XLB,XLRE,XLC,SMH,XBI,KRE,XRT,IYT,TLT,IEF,SHY,LQD,HYG,TIP,MUB,AGG,EMB,UUP,FXE,FXY,VNQ,DBC
2003-01-02,91.07,25.4,77.9,88.42,85.0,,101.0999,,,,22.8,15.6,22.8,21.12,23.98,20.32,27.27,19.6,20.36,,,21.9382,,,,,86.28,84.79,82.0,107.33,,,,,,,,,,
2003-01-03,91.35,25.68,77.77,87.99,84.95,,101.1999,,,,22.78,15.66,22.76,21.19,23.43,20.3,27.55,19.8,20.25,,,22.2434,,,,,86.48,84.93,82.01,107.94,,,,,,,,,,
2003-01-06,92.96,26.32,78.68,89.4,86.79,,102.4499,,,,23.55,16.35,22.95,21.38,23.86,20.45,27.85,20.69,20.64,,,23.3995,,,,,86.25,84.72,81.96,107.89,,,,,,,,,,
2003-01-07,92.73,26.65,78.27,88.62,86.16,,100.8499,,,,23.29,16.52,22.2,21.26,23.73,20.27,27.45,20.24,20.57,,,23.4088,,,,,86.56,84.99,82.02,108.3,,,,,,,,,,
2003-01-08,91.39,25.9,77.49,87.33,85.08,,99.4799,,,,23.05,15.98,21.99,21.0,23.51,20.15,27.24,20.38,20.04,,,22.6041,,,,,86.99,85.19,82.09,108.41,,,,,,,,,,
2003-01-09,92.81,26.7,78.63,88.54,86.4,,100.6999,,,,23.51,16.45,22.27,21.27,24.16,20.35,27.52,20.28,20.35,,,23.0481,,,,,85.32,84.16,81.94,107.54,,,,,,,,,,
2003-01-10,93.06,27.1,78.8,88.75,86.64,,100.5699,,,,23.5,16.54,22.09,21.23,24.22,20.41,27.51,20.28,20.57,,,23.6215,,,,,85.54,84.25,82.05,107.82,,,,,,,,,,
2003-01-13,93.03,26.94,78.98,88.5,86.56,,100.7799,,,,23.57,16.45,22.01,21.19,24.34,20.46,27.53,19.85,20.48,,,23.3533,,,,,85.68,84.4,82.03,107.7,,,,,,,,,,
2003-01-14,93.33,27.08,79.03,88.08,86.95,,101.5499,,,,23.7501,16.68,22.1,21.23,24.37,20.52,27.51,19.89,20.58,,,23.5383,,,,,85.98,84.6,82.06,108.0,,,,,,,,,,
2003-01-15,92.4,26.74,78.85,88.0,86.1,,100.5799,,,,23.4,16.35,22.17,20.93,24.08,20.32,27.2,19.83,20.24,,,22.9186,,,,,86.4,84.79,82.09,108.0,,,,,,,,,,
2003-01-16,92.02,26.44,78.74,87.9,85.85,,100.9999,,,,23.17,16.0,22.39,20.81,23.99,20.62,27.12,19.8,20.35,,,22.2527,,,,,86.52,84.76,82.14,107.75,,,,,,,,,,
2003-01-17,90.66,25.31,77.26,86.54,84.6,,99.9399,,,,23.1,15.22,22.22,20.66,23.75,20.5,27.1,19.71,20.19,,,21.0688,,,,,86.95,85.11,82.12,108.25,,,,,,,,,,
2003-01-21,89.25,25.03,76.14,85.27,83.15,,98.1799,,,,22.72,15.12,21.7,20.15,23.08,20.35,26.9,19.3,19.75,,,20.8469,,,,,87.45,85.4,82.22,108.32,,,,,,,,,,
2003-01-22,88.17,24.93,75.48,84.88,82.3,,96.7999,,,,22.36,15.02,21.64,19.77,22.75,20.11,26.83,19.13,19.51,,,20.7636,,,,,87.88,85.75,82.28,108.54,,,,,,,,,,
