,ACWI
2008-03-28,35.2126
2008-03-31,34.6643
2008-04-01,35.5991
2008-04-02,35.9899
2008-04-03,36.1965
2008-04-04,36.1741
2008-04-07,36.3863
2008-04-08,36.6112
2008-04-09,35.9295
2008-04-10,35.9295
2008-04-11,35.3602
2008-04-14,35.5007
2008-04-15,35.5991
2008-04-16,36.0841
2008-04-17,36.5691
2008-04-18,36.9697
2008-04-21,37.1384
2008-04-22,36.801
2008-04-23,36.8924
2008-04-24,36.9071
2008-04-25,37.054
2008-04-28,37.3576
2008-04-29,36.9275
2008-04-30,37.4265
2008-05-01,37.3141
2008-05-02,37.546
2008-05-05,37.6514
2008-05-06,37.9059
2008-05-07,37.2719
2008-05-08,37.3984
2008-05-09,37.2368
2008-05-12,37.6163
2008-05-13,37.6585
2008-05-14,37.7428
2008-05-15,38.1434
2008-05-16,38.4667
2008-05-19,38.4527
2008-05-20,38.0731
2008-05-21,37.8103
2008-05-22,37.8693
2008-05-23,37.2789
2008-05-27,37.5671
2008-05-28,37.5601
2008-05-29,37.792
2008-05-30,37.7498
2008-06-02,37.4617
2008-06-03,37.3703
2008-06-04,36.9908
2008-06-05,37.785
2008-06-06,36.7869
2008-06-09,36.562
2008-06-10,36.205
2008-06-11,35.7678
2008-06-12,35.7889
2008-06-13,36.0349
2008-06-16,36.2739
2008-06-17,36.2682
2008-06-18,36.0068
2008-06-19,35.5288
2008-06-20,35.2751
2008-06-23,35.3953
2008-06-24,35.0439
2008-06-25,35.4234
2008-06-26,34.5378
2008-06-27,34.6011
2008-06-30,34.7346
2008-07-01,34.4675
2008-07-02,33.9264
2008-07-03,33.7858
2008-07-07,33.9193
2008-07-08,33.8209
2008-07-09,33.7436
2008-07-10,33.6298
2008-07-11,33.3852
2008-07-14,33.2516
2008-07-15,32.9072
2008-07-16,33.2235
2008-07-17,33.6663
2008-07-18,33.6944
2008-07-21,33.8419
2008-07-22,33.828
2008-07-23,34.2848
2008-07-24,33.5609
2008-07-25,33.5551
2008-07-28,33.1532
2008-07-29,33.5257
2008-07-30,33.7225
2008-07-31,33.6382
2008-08-01,33.2446
2008-08-04,32.9072
2008-08-05,33.4442
2008-08-06,33.8209
2008-08-07,33.1743
2008-08-08,33.5468
2008-08-11,33.596
2008-08-12,33.3359
2008-08-13,33.1743
2008-08-14,33.2024
2008-08-15,33.0689
2008-08-18,32.7667
2008-08-19,32.359
2008-08-20,32.5488
2008-08-21,32.8791
2008-08-22,32.9916
2008-08-25,32.4363
2008-08-26,32.5909
2008-08-27,32.8229
2008-08-28,33.2305
2008-08-29,33.0759
2008-09-02,32.6261
2008-09-03,32.177
2008-09-04,31.3258
2008-09-05,31.2064
2008-09-08,31.5437
2008-09-09,30.637
2008-09-10,31.0939
2008-09-11,31.0728
2008-09-12,31.4383
2008-09-15,29.9553
2008-09-16,30.1732
2008-09-17,28.8729
2008-09-18,30.0115
2008-09-19,31.6843
2008-09-22,31.0095
2008-09-23,30.3418
2008-09-24,30.3278
2008-09-25,31.0419
2008-09-26,30.883
2008-09-29,27.9943
2008-09-30,29.0205
2008-10-01,29.14
2008-10-02,27.917
2008-10-03,27.411
2008-10-06,26.0053
2008-10-07,24.8456
2008-10-08,24.3114
2008-10-09,22.8003
2008-10-10,22.3093
2008-10-13,25.0775
2008-10-14,24.9159
2008-10-15,22.5403
2008-10-16,23.4118
2008-10-17,23.0393
2008-10-20,24.3677
2008-10-21,23.3274
2008-10-22,21.6266
2008-10-23,21.7573
2008-10-24,20.8113
2008-10-27,19.8132
2008-10-28,21.9288
2008-10-29,22.2872
2008-10-30,23.3415
2008-10-31,23.6789
2008-11-03,23.5453
2008-11-04,24.8175
2008-11-05,23.5102
2008-11-06,21.9709
2008-11-07,23.0604
2008-11-10,22.8214
2008-11-11,22.231
2008-11-12,21.0151
2008-11-13,22.4911
2008-11-14,21.3243
2008-11-17,21.0854
2008-11-18,20.8886
2008-11-19,19.771
2008-11-20,18.4638
2008-11-21,19.5602
2008-11-24,20.987
2008-11-25,21.0151
2008-11-26,21.5352
2008-11-28,21.6055
2008-12-01,19.7781
2008-12-02,20.7339
2008-12-03,20.9659
2008-12-04,20.5863
2008-12-05,20.9307
2008-12-08,21.7742
2008-12-09,21.5141
2008-12-10,22.1045
2008-12-11,21.8796
2008-12-12,22.0131
2008-12-15,21.8936
2008-12-16,23.1377
2008-12-17,23.0182
2008-12-18,22.1959
2008-12-19,22.224
2008-12-22,21.8873
2008-12-23,21.5914
2008-12-24,21.7531
2008-12-26,22.0555
2008-12-29,21.9211
2008-12-30,22.5789
2008-12-31,22.9326
2009-01-02,23.4348
2009-01-05,23.3287
